Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
19	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	M13SV1, M13SV1-R2-2 , M13SV1-R2-N1	Culture	3D	Spheroids	n/a	Model/method qualification	omics, morphology, viability	Low	n/a	Direct	10.1186/s12935-015-0262-5	Stempin, Sandra	2015
20	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT549 , T47D	Culture/MPS	3D	Spheroids	n/a	Drug develop./testing	drug delivery monitoring and cytotoxicity	High	Yes	Direct	10.1016/j.aca.2018.06.038	Chen, Yongli	2018
23	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Mathematical	Immortalised cells/Stem-cell like	SUM149	Culture	3D	Organoids	n/a	Disease mechanism (exp./theor.); Model/method qualification	viability, EMT	Low	n/a	Direct	10.1073/pnas.1815345116	Bocci, Federico	2019
24	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SK-BR-3, BT474, T-47D, MDA-MB-231, MDA-MB-468, MCF7	Culture/MPS	2D	n/a	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.); Model/method qualification	HER2/Cytokeratin ratio	High	Yes	Direct	10.1117/1.JBO.24.2.021204	Migliozzi, Daniel	2019
25	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , BT474	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, SOX-1, SOX-17, brachyury	Low	Yes	Direct	10.1039/c5lc00159e	Hribar, K. C.	2015
26	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Primary cell culture	MCF7, MCF10A , MDA-MB-231,	Culture	2D	n/a	n/a	Disease therapy develop.	gene expression	Low	Yes	n/a	10.3390/ijms19041084	Bravata, Valentina	2018
27	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	3D	Spheroids	n/a	Disease therapy develop.; Drug develop./testing	viability, omics	Low	Yes	Direct	10.1016/j.breast.2018.08.002	Orditura, M.	2018
29	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	viability	Low	Yes	Direct	10.1007/s10544-018-0260-1	Karamikamkar, Solmaz	2018
30	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, NF	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	SMA, PDGF, MMP-2, MMP-9	Low	n/a	Direct	10.1002/adhm.201600772	Gioiella, Filomena	2016
31	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SK-BR-3, MDA-MB-231, T-47D	Culture	2D/3D	Spheroids	n/a	Drug develop./testing; Model/method qualification	cytotoxicity	Low	No	n/a	10.3109/14756366.2015.1101093	Brajsa, Karmen	2016
32	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT20, BT474, MCF7, SK-BR-3, MDA-MB-231, MDA-MB-453, MDA-MB-468, JIMT1, KPL4	Co-culture	3D	Spheroids	n/a	Disease therapy develop.; Model/method qualification	viability, EGF, HGF, IL6 quantification by the Human cytokine/chemokine 96-well plate assay, cytotoxicity	Low	Yes	Direct	10.1371/journal.pone.0127948	Majety, Meher	2015
33	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7 , T-47D	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.); Disease therapy develop.	cell proliferation, apoptosis	Low	No	Direct	10.1186/s12885-016-2915-8	Geiger, Pamina	2016
34	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Co-culture	2D/3D	Spheroids	n/a	Model/method develop.(exp.)	cytotoxicity	Low	Yes	Direct	10.1166/jnn.2015.10508	Privalova, Anna M	2015
36	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	viability, invasion and angiogenesis	Low	Yes	Direct	10.1016/j.actbio.2016.03.017	Taubenberger, Anna V.	2016
37	BC	BC	Cancer Initiation and Development	In vitro	Cells	Stem cells/Stem-cell like	n/a	Culture	2D/3D	Spheroids	n/a	Disease therapy develop.	cytotoxicity	Low	No	Direct	10.7603/s40730-016-0034-4	Ngu Van Trinh	2016
38	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BrM2a, BT474, BT549, HCC70, HCC1395, HCC1419, HCC1428, HCC1806, LM2, MCF7, MDA-MB-231, MDA-MB-468, SkBr3, ZR-75-1	Culture	3D	Spheroids	n/a	Drug develop./testing; Model/method qualification	morphology, viability, cytotoxicity, TRAIL, DR4, DR5 RNA expression	Low	No	Direct	10.1021/acsbiomaterials.7b00069	Gencoglu, Maria F.	2018
39	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	No	Supportive	10.15171/apb.2017.071	Akasov, Roman	2017
40	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D, MDA-MB-453, MDA-MB-468, MDA-MB-231 , BT474	Culture/Co-culture	3D	Spheroids	n/a	Model/method qualification	morphology, viability	Low	Yes	n/a	10.1371/journal.pone.0157004	Roberts, Grace C.	2016
41	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, IMR-90 MCTS	Co-culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, viability	Low	n/a	n/a	10.1038/s41598-017-04691-9	Jiang, Tao	2017
42	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474 , 21MT-1, MSCs	Co-culture	2D	n/a	n/a	Drug develop./testing; Model/method develop. (exp.).; Model/method qualification	ERC, HER2, CD166, PTEN, PI3K, AKT, protein quantification, phosphorylation status 	Low	n/a	Direct	10.1038/srep13744	Daverey, Amita	2015
43	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Co-culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.); Model/method qualification	viability, proliferation, secreted IL-8 protein quantification	Low	Yes	Direct	10.1088/0957-4484/27/31/315103	Zhu, Wei	2016
44	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D/3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Drug develop./testing	cytotoxicity	Low	n/a	Direct	10.1038/s41416-018-0267-7	Beckwitt, Colin H.	2018
45	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Model/method qualification	morphology, viability	High	Yes	n/a	10.1007/s10404-014-1373-3	Sun, Duanping	2014
46	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474, MCF7, CAFs	Co-culture/MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Drug develop./testing; Model/method qualification	cell migration, time of interaction between cell types	Low	Yes	Direct	10.1016/j.celrep.2018.12.015	Nguyen, Marie	2018
49	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A, BT474	Culture/Co-culture	2D/3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.).; Model/method qualification	cytotoxicity, EGFR and HER2 protein quantification and localization	High	Yes	Direct	10.1371/journal.pone.0108283	Howes, Amy L.	2014
50	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds/Spheroids	n/a	Model/method qualification	morphology, viability	Low	n/a	n/a	10.1016/j.bioelechem.2018.08.006	Brun, Paola	2019
52	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7,  fibroblasts and endothelial cells	Co-culture/MPS	3D	Scaffolds	n/a	Drug develop./testing; Model/method develop. (exp.).; Model/method qualification	cytotoxicity, viability	Low	No	Direct	10.1016/j.talanta.2018.08.016	Wang, Shiqi	2019
53	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231	Co-culture/MPS	3D	Scaffolds	n/a	Drug develop./testing; Model/method develop. (exp.).; Model/method qualification	cell migration, invasion, extravasation	Low	Yes	n/a	10.1002/adhm.201701257	Nagaraju, Supriya	2018
54	BC	BC	Cancer Initiation and Development; Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, 	MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method qualification	viability, invasion	Low	Yes	Supportive	10.1002/smll.201702787	Hao, Sijie	2018
56	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, morphology and viability (only for primary cell line)	Low	Yes	Direct	10.1186/s12967-016-0855-3	Halfter, Kathrin	2016
57	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	cytotoxicity	Low	Yes	Direct	10.1002/biot.201800268	Nunes, Ana S.	2018
58	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474,BT549,MCF7,MDA-MB-231,T47D	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, viability, cytotoxicity, MIB-1, pancytokeratin, E-cadherin and vimentin protein localization	Low	Yes	Direct	10.1039/c7lc00832e	Thomsen, Andreas R.	2018
59	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells/Ex vivo	Primary cell culture	MCF7, MDA-MB-231, MCF10A / BC	Culture	2D	n/a	Organ slice	Drug develop./testing; Model/method develop. (exp.)	viability, cell migration, morphology, complex karyotype determination, α-smooth muscle 1A4, CD24, CD234 (E-Cadherin), CD44, CD227, EpCAM (EBA-1), HER2, CD49c, CD116, SSEA-1, CD45, CD47, ALDH1 (LSBio), cytokeratin 18 (CK18) and SSEA-1 (CD15) protein immuno-localization, gene expression changes of 84 genes	Low	n/a	Direct	10.1186/s12885-017-3812-5	Ali, Rizwan	2017
60	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-453, HCC1954, MCF7, T47DMCF10DCIS.com, SUM149PT, CAFs	Co-culture	3D	Spheroids	n/a	Drug develop./testing; Model/method qualification	cytotoxicity, omics, viability (by Luciferase assay), Ki67 and SMA protein localization,HER2 nad EGFR protein quantification	Low	Yes	Direct	10.1158/0008-5472.CAN-16-1457	Marusyk, Andriy	2016
61	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Model/method qualification	morphology, viability	Low	No	Direct	10.1038/srep35367	Cavo, Marta	2016
62	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	MAP3K1, AKT, PRAS40, JNK, IRS1, ERK protein quantification, morphology, c-c3, S6 and RB protein localization, cytotoxicity	Low	No	Supportive	10.18632/oncotarget.25118	Avivar-Valderas, Alvaro	2018
63	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Disease therapy develop.; Model/method develop. (exp.)	fluorescent staining intensity	High	Yes	Direct	10.1063/1.4959031	Grist, S. M.	2016
64	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7, BT474	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	No	Direct	10.1007/s00432-015-1950-1	Lovitt, Carrie J.	2015
66	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, NK92	Culture	3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	NK-92 migration and tumor penetration	Low	Yes	Direct	10.1080/2162402X.2018.1553477	Ayuso, Jose M.	2019
67	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Mathematical	Immortalised cells	MCF10A, MCF10AT, MCF10 DCIS.COM (DCIS.COM)	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method qualification	filopodia density and lenght measurement	Low	Yes	Direct	10.1083/jcb.201704045	Jacquemet, Guillaume	2017
69	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	morphology, viability	Low	Yes	Direct	10.1038/s41598-018-23250-4	Cavo, Marta	2018
70	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells/Primary cell culture	MDA-MB-231, MCF7,T47D, adipocytes	Culture/Co-culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	IL6, IL8, CCL5, CCL2 and IP10 RNA quantification, viability, morphology	High	No	Direct	10.1158/0008-5472.CAN-15-0927	Picon-Ruiz, Manuel	2016
71	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, A-549	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	n/a	n/a	10.1007/s00044-014-1156-0	Kumar, Rajesh	2015
72	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Computational	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease therapy develop.; Model/method develop. (exp.)	rate of electroporated cells	Low	Yes	Direct	10.1177/1533033818764498	Ongaro, Alessia	2018
73	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells/Primary cell culture	MDA-MB-231,MCF7	Co-culture/MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	extravasation	Low	Yes	Direct	10.1016/j.biomaterials.2013.11.050	Bersini, Simone	2014
76	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A, MCF10aDCIS	MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	E-cadherin and collagen-I quantification and localization, migration, morphology	Low	Yes	Direct	10.1186/s12885-015-1007-5	Bischel, Lauren L.	2015
77	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Invasion	Low	Yes	Direct	10.1016/j.actbio.2018.11.010	Liu, Chun	2019
78	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	BC derived tumor-initiating cells (MCFS)	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	morphology, E-cadherin staining	Low	Yes	Direct	10.1016/j.actbio.2017.09.017	Angeloni, Valentina	2017
79	BC	BC	Tumor Landscape	In vitro	Cells	Primary cell culture	BC	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Genome and miRNA profiling	Low	Yes	Direct	10.1371/journal.pone.0186190	Mahajan, Akanksha S.	2017
80	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF	Culture/MPS	2D	n/a	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	E-cadherine and Collagen localization, migration	Medium	Yes	Direct	10.3390/bioengineering5020029	Toh, Yi-Chin	2018
81	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture/MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	angiogenesis, invasion (by luciferase assay)	Low	Yes	Direct	10.1073/pnas.1714282115	Marturano-Kruik, Alessandro	2018
82	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Disease therapy develop.; Drug develop./testing	HER2 expression quantification (protein and RNA), viability, cytotoxicity	Low	No	Direct	10.1002/jcb.26298	Rodriguez, Cristina E.	2018
83	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, MSCs	Co-culture	3D	Scaffolds/Spheroids	n/a	Model/method develop.(exp.)	invasion, morphology	Low	Yes	Direct	10.1016/j.nano.2015.09.010	Zhu, Wei	2016
84	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1002/jcb.28147	Rambabu, Majji	2019
85	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	HCC1806	Culture	3D	Spheroids	n/a	Disease therapy develop.; Model/method develop. (exp.)	cell attachment, viability, metabolic activity, migration	Low	Yes	n/a	10.1088/1748-605X/aa5d5c	Casey, John	2017
86	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Computational	Immortalised cells	MDA-MB-231	Co-culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, Stromal Fibroblasts Ratios	Low	Yes	Direct	10.1007/s12195-017-0498-3	Logsdon, Daniel K.	2017
87	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF10A, MCF7 , MDA-MB-231	MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	viability, E-cadherine and vimentine protein localization, extravasation	Low	Yes	Direct	10.1038/s41598-018-36381-5	Song, Jiho	2018
91	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, primary adipose-derived stromal cells (ASCs)	Co-culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	cytotoxicity	Low	Yes	Direct	10.1039/c4lc01065e	Yang, Yamin	2015
92	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	invasion, transmigration dynamics across lymphatic endothelium	Low	Yes	Direct	10.1039/c5ib00085h	Pisano, M.	2015
93	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, migration, Brk phosphorylation quantification	Low	Yes	Direct	10.1016/j.ejmech.2013.11.039	Foudah, Ahmed I.	2014
94	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF-7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, migration, invasion	Low	Yes	Supportive	10.1039/c8bm00486b	Sun, Haifeng	2018
95	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, viability	Low	Yes	n/a	10.1115/1.4031898	Li, Y.	2015
96	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, CAFs	Co-culture	3D	Organoids	n/a	Disease mechanism (exp./theor.)	YAP/TAZ, b-CAF spreading, CAF RNA profile	Low	Yes	n/a	10.1021/acs.langmuir.8b02649	Cao, Huan	2018
97	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	JIMT-1	Culture	3D	n/a	n/a	Disease therapy develop.; Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.3389/fphar.2018.00403	Ande, Anusha	2018
98	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A, MSCs	Co-culture	3D	Scaffolds	n/a	Disease therapy develop.	changes in the miRNA signature, HER2 and Ki67 expression quantification	Low	Yes	n/a	10.1021/acs.langmuir.5b02227	Daverey, Amita	2015
99	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF-7	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	cell migration vs collagen alignment in the matrix, number of cell protrusions	Low	Yes	n/a	10.1016/j.bpj.2014.10.035	Riching, Kristin M.	2014
100	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MDA–MB–231	Culture	3D	Scaffolds/Spheroids	n/a	Model/method develop.(exp.)	morphology (phalloidin, DAPI staining), viability, stemness level determination by ALDEFLUOR assay	Low	Yes	n/a	10.3390/polym9080328	Rabionet, Marc	2017
101	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MSCs, SUM159PT, MDA–MB–231	Co-culture/MPS	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	viability, change in cell metabolism assessed by the inhibitor oATP, morphology, migration	Low	Yes	n/a	10.1038/s41598-017-13460-7	Maffey, A.	2017
102	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MD-231	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	morphology, cell adhesion, invasion, ER, PR and HER-2 protein localization	Low	Yes	n/a	10.3390/polym10060581	Wang, Jing	2018
103	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, SUM149, SUM159, BT474, MDA-MB-231	Co-culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	survival, dormancy and proliferation, cytotoxicity	Low	Yes	n/a	10.1007/978-1-4939-2519-3_12	Marlow, Rebecca	2015
105	BC	BC	Metastasis	In vitro	Cells	Immortalised cells/Primary cell culture	MDA-MB-231 BR, tissue samples of breast cancer brain metastases (BCBM), glial cells	Co-culture	n/a	n/a	n/a	Disease mechanism (exp./theor.)	PTEN, AKY, ERK1/2, migration, invasion	High	n/a	n/a	10.18632/oncotarget.14047	Hohensee, Ina	2017
106	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MCF10A	Culture	3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	proliferation, EGF, ERK, GPER	Low	No	Direct	10.1007/s12672-014-0174-1	Scaling, Allison L.	2014
107	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, CK5/6, CK14,  CK17, E-cadherin, pCAM, Muc1, ALDH1A3, CD49, SMA, P63	Low	n/a	n/a	10.1371/journal.pone.0131285	Qu, Ying	2015
110	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SK-BR-3, MDA-MB-231, T-47D	Culture	2D	n/a	n/a	Drug develop./testing	morphology, cytotoxicity	High	n/a	Supportive	10.5562/cca3139	Zlatar, Ivo	2017
112	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	cell adhesion, cell proliferation, morphology, VEGF, IL-8, bFGF	Low	Yes	Direct	10.1016/j.actbio.2016.01.027	Xu, Weijun	2016
113	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7-C3 , MDA-MB-231-C3	Culture	3D	Spheroids	n/a	Drug develop./testing	viability, morphology, caspase‐3, MMP‐9, SOX2,  OCT4A	Low	Yes	Direct	10.1002/bit.25572	Anand, Padmaja	2015
114	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Primary cell culture	MCF7 , MDA-MB-231, BT474, MCF10A	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	miR-124, SNAI2, cell proliferation, colony formation, migration, invasion	Low	Yes	Supportive	10.3892/or.2016.5163	Du, Shanmei	2016
115	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.); Drug develop./testing	Axl, PI3K/Akt, cytotoxicity, E‐cadherin, N‐cadherin, Snail,  Slug	Medium Low	Yes	Supportive	10.1002/iub.1285	Li, Yanyan	2014
