Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
93	Lung Cancer	Metastasis	2D or 3D Culture	NCI-H1975	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Wnt5a promotes epithelial-to-mesenchymal transition and metastasis in non-small-cell lung cancer	https://doi.org/10.1042/BSR20171092	Wang, B., Tang, Z., Gong, HY., Zhu, L., Liu, XG.	2017	5	5
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	A549 cell line	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	Anip973	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	CCL-153	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	H1299 human lung carcinoma	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	H520	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
94	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D Culture	SPCA-1 human lung adenocarcinoma	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Nogo-B receptor promotes epithelial-mesenchymal transition in non-small cell lung cancer cells through the Ras/ERK/Snaill pathway	https://doi.org/10.1016/j.canlet.2018.01.030	Wu, DH., Zhao, BF., Qi, XY., Peng, F., Fu, HL., Chi, XM., Miao, QR., Shao, SJ.	2018	6	6
95	Lung Cancer	Protein expression	Human/patient ex-vivo tissue or body fluids	Human lung tumour tissue	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		IL-18 receptor marks functional CD8(+) T cells in non-small cell lung cancer	https://doi.org/10.1080/2162402X.2017.1328337	Timperi, E., Focaccetti, C., Gallerano, D., Panetta, M., Spada, S., Gallo, E., Visca, P., Venuta, F., Diso, D., Prelaj, A., Longo, F., Facciolo, F., Nistico, P., Barnaba, V.	2017	3	3
96	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		OncoCilAir (TM): A physiological in vitro platform to assess the efficacy and the toxicity of lung cancer therapeutics	https://doi.org/10.1016/j.toxlet.2018.06.670	Benainous, H., Kilin, V., Huang, S., Wiszniewski, L., Wolf, JP., Bonacina, L., Constant, S., Mas, C.	2018	-	0
96	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Normal human lung fibroblasts	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		OncoCilAir (TM): A physiological in vitro platform to assess the efficacy and the toxicity of lung cancer therapeutics	https://doi.org/10.1016/j.toxlet.2018.06.670	Benainous, H., Kilin, V., Huang, S., Wiszniewski, L., Wolf, JP., Bonacina, L., Constant, S., Mas, C.	2018	-	0
96	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Primary human NHBE cells	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		OncoCilAir (TM): A physiological in vitro platform to assess the efficacy and the toxicity of lung cancer therapeutics	https://doi.org/10.1016/j.toxlet.2018.06.670	Benainous, H., Kilin, V., Huang, S., Wiszniewski, L., Wolf, JP., Bonacina, L., Constant, S., Mas, C.	2018	-	0
97	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	Human lung microvascular endothelial cells HMVEC	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Human Organ Chip Models Recapitulate Orthotopic Lung Cancer Growth, Therapeutic Responses, and Tumor Dormancy In Vitro (vol 21, pg 508, 2017)+103:103	https://doi.org/10.1016/j.celrep.2018.06.028	Hassell, BA., Goyal, G., Lee, E., Sontheimer-Phelps, A., Levy, O., Chen, CS., Ingber, DE.	2018	2	1
97	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	NCI-H1975	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Human Organ Chip Models Recapitulate Orthotopic Lung Cancer Growth, Therapeutic Responses, and Tumor Dormancy In Vitro (vol 21, pg 508, 2017)	https://doi.org/10.1016/j.celrep.2018.06.028	Hassell, BA., Goyal, G., Lee, E., Sontheimer-Phelps, A., Levy, O., Chen, CS., Ingber, DE.	2018	2	1
97	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	Primary HAEC at ALI	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Human Organ Chip Models Recapitulate Orthotopic Lung Cancer Growth, Therapeutic Responses, and Tumor Dormancy In Vitro (vol 21, pg 508, 2017)	https://doi.org/10.1016/j.celrep.2018.06.028	Hassell, BA., Goyal, G., Lee, E., Sontheimer-Phelps, A., Levy, O., Chen, CS., Ingber, DE.	2018	2	1
97	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	Primary human NHBE cells	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Human Organ Chip Models Recapitulate Orthotopic Lung Cancer Growth, Therapeutic Responses, and Tumor Dormancy In Vitro (vol 21, pg 508, 2017)	https://doi.org/10.1016/j.celrep.2018.06.028	Hassell, BA., Goyal, G., Lee, E., Sontheimer-Phelps, A., Levy, O., Chen, CS., Ingber, DE.	2018	2	1
98	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Lung-cancer associated fibroblasts	Mimics tumour microenvironment	Migration and invasion	Medium / Low (Lab scale)	Disease Progression		Fibroblasts Enhance Migration of Human Lung Cancer Cells in a Paper-Based Coculture System	https://doi.org/10.1002/adhm.201500709	Camci-Unal, G., Newsome, D., Eustace, BK., Whitesides, GM.	2016	24	21
98	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	VXN2- primary lung tumour cell line	Mimics tumour microenvironment	Migration and invasion	Medium / Low (Lab scale)	Disease Progression		Fibroblasts Enhance Migration of Human Lung Cancer Cells in a Paper-Based Coculture System	https://doi.org/10.1002/adhm.201500709	Camci-Unal, G., Newsome, D., Eustace, BK., Whitesides, GM.	2016	24	21
99	Lung Cancer	Metastasis	2D or 3D Culture	A549 cell line	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		FLNa negatively regulated proliferation and metastasis in lung adenocarcinoma A549 cells via suppression of EGFR	https://doi.org/10.1093/abbs/gmx135	Zhang, YN., Zhu, TN., Liu, JP., Liu, JK., Gao, DM., Su, TY., Zhao, RJ.	2018	1	1
100	Asthma	Small airway smooth muscle	Human/patient ex-vivo tissue or body fluids 	Bronchial epithelial biopsy tissue 	Identification of Biomarkers	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		CD151, a laminin receptor showing increased expression in asthmatic patients, contributes to airway hyperresponsiveness through calcium signaling	https://doi.org/10.1016/j.jaci.2016.03.029		2017		
101	Pulmonary Fibrosis	Protein expression	2D or 3D Culture	Wi-38 Human fibroblasts	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		HSP27 regulates TGF-beta mediated lung fibroblast differentiation through the Smad3 and ERK pathways	https://doi.org/10.3892/ijmm.2016.2813		2017		
101	Pulmonary Fibrosis	Protein expression	2D or 3D Culture	Primary mouse lung fibroblasts	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		HSP27 regulates TGF-beta mediated lung fibroblast differentiation through the Smad3 and ERK pathways	https://doi.org/10.3892/ijmm.2016.2813		2017		
102	Lung Cancer	Inflammation	2D or 3D Culture	H292 human lung tumour	Disease mechanism (exp/theor)	Inflammatory Mediators	Medium / Low (Lab scale)	Drug Discovery		Epidermal growth factor receptor inhibitor AG1478 inhibits mucus hypersecretion in airway epithelium	https://doi.org/10.2500/ajra.2016.30.4263	Takezawa, K., Ogawa, T., Shimizu, S., Shimizu, T.	2016	11	9
103	Cystic Fibrosis	CTFR Activity	Human/patient ex-vivo tissue or body fluids 	HBEC	Drug development/ testing	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Drug Development		Measurements of Functional Responses in Human Primary Lung Cells as a Basis for Personalized Therapy for Cystic Fibrosis.	https://doi.org/10.1016/j.ebiom.2014.12.005	Awatade, Nikhil T; Uliyakina, Inna; Farinha, Carlos M; Clarke, Luka A; Mendes, Karina; Sole, Amparo; Pastor, Juan; Ramos, Maria Margarida; Amaral, Margarida D	2015	32	35
103	Cystic Fibrosis	CTFR Activity	Human/patient ex-vivo tissue or body fluids 	HBEC	Drug development/ testing	Bioeleectric Properties	Medium / Low (Lab scale)	Drug Development		Measurements of Functional Responses in Human Primary Lung Cells as a Basis for Personalized Therapy for Cystic Fibrosis.	https://doi.org/10.1016/j.ebiom.2014.12.005	Awatade, Nikhil T; Uliyakina, Inna; Farinha, Carlos M; Clarke, Luka A; Mendes, Karina; Sole, Amparo; Pastor, Juan; Ramos, Maria Margarida; Amaral, Margarida D	2015	32	35
104	Respiratory Disease - General	Exploratory/ no specific feature	Human/patient primary or stem cells 	Small airway epithelial cells (SAEC)	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		Successful establishment of primary small airway cell cultures in human lung transplantation	https://doi.org/10.1186/1465-9921-10-99	Banerjee, Balarka; Kicic, Anthony; Musk, Michael; Sutanto, Erika N.; Stick, Stephen M.; Chambers, Daniel C.	2009	14	11
105	Respiratory Disease - General	Hypoxia	2D or 3D Culture	Calu-3	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Unknown		miR-200b downregulates CFTR during hypoxia in human lung epithelial cells.	https://doi.org/10.1186/s11658-017-0054-0	Bartoszewska, Sylwia; Kamysz, Wojciech; Jakiela, Bogdan; Sanak, Marek; Kroliczewski, Jaroslaw; Bebok, Zsuzsa; Bartoszewski, Rafal; Collawn, James F	2017	7	7
105	Respiratory Disease - General	Hypoxia	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Unknown		miR-200b downregulates CFTR during hypoxia in human lung epithelial cells.	https://doi.org/10.1186/s11658-017-0054-0	Bartoszewska, Sylwia; Kamysz, Wojciech; Jakiela, Bogdan; Sanak, Marek; Kroliczewski, Jaroslaw; Bebok, Zsuzsa; Bartoszewski, Rafal; Collawn, James F	2017	7	7
105	Respiratory Disease - General	Hypoxia	2D or 3D Culture	Calu-3	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Unknown		miR-200b downregulates CFTR during hypoxia in human lung epithelial cells.	https://doi.org/10.1186/s11658-017-0054-0	Bartoszewska, Sylwia; Kamysz, Wojciech; Jakiela, Bogdan; Sanak, Marek; Kroliczewski, Jaroslaw; Bebok, Zsuzsa; Bartoszewski, Rafal; Collawn, James F	2017	7	7
105	Respiratory Disease - General	Hypoxia	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Unknown		miR-200b downregulates CFTR during hypoxia in human lung epithelial cells.	https://doi.org/10.1186/s11658-017-0054-0	Bartoszewska, Sylwia; Kamysz, Wojciech; Jakiela, Bogdan; Sanak, Marek; Kroliczewski, Jaroslaw; Bebok, Zsuzsa; Bartoszewski, Rafal; Collawn, James F	2017	7	7
106	Cystic Fibrosis	Gene expression	2D or 3D Culture	Human Airway Epithelial cells (CFBE41o)	Disease Treament	Gene expression	High Throughput(Automated)	Drug Development		Targeted Integration of a Super-Exon into the CFTR Locus Leads to Functional Correction of a Cystic Fibrosis Cell Line Model	https://doi.org/10.1371/journal.pone.0161072	Bednarski, Christien; Tomczak, Katja; vom Hoevel, Beate; Weber, Wolf-Michael; Cathomen, Toni	2016	7	8
107	Respiratory Disease - General	Angiogenesis	Chip or microfluidic system	Human Pericytes	Model development - experim	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Primary Human Lung Pericytes Support and Stabilize In Vitro Perfusable Microvessels.	https://doi.org/10.1089/ten.TEA.2014.0545	Bichsel, Colette A; Hall, Sean R R; Schmid, Ralph A; Guenat, Olivier T; Geiser, Thomas	2015	17	20
107	Respiratory Disease - General	Angiogenesis	Chip or microfluidic system	Human microvascular endothelial cells	Model development - experim	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Primary Human Lung Pericytes Support and Stabilize In Vitro Perfusable Microvessels.	https://doi.org/10.1089/ten.TEA.2014.0545	Bichsel, Colette A; Hall, Sean R R; Schmid, Ralph A; Guenat, Olivier T; Geiser, Thomas	2015	17	20
107	Respiratory Disease - General	Angiogenesis	Chip or microfluidic system	Human Pericytes	Model development - experim	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Primary Human Lung Pericytes Support and Stabilize In Vitro Perfusable Microvessels.	https://doi.org/10.1089/ten.TEA.2014.0545	Bichsel, Colette A; Hall, Sean R R; Schmid, Ralph A; Guenat, Olivier T; Geiser, Thomas	2015	17	20
107	Respiratory Disease - General	Angiogenesis	Chip or microfluidic system	Human microvascular endothelial cells	Model development - experim	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Primary Human Lung Pericytes Support and Stabilize In Vitro Perfusable Microvessels.	https://doi.org/10.1089/ten.TEA.2014.0545	Bichsel, Colette A; Hall, Sean R R; Schmid, Ralph A; Guenat, Olivier T; Geiser, Thomas	2015	17	20
108	Cystic Fibrosis	Mucosal Clearance	Human/patient primary or stem cells 	Primary human NHBE cells	Model of Human Airway Mucosa	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		Combination therapy with cystic fibrosis transmembrane conductance regulator modulators augment the airway functional microanatomy.	https://doi.org/10.1152/ajplung.00395.2015	Birket, Susan E; Chu, Kengyeh K; Houser, Grace H; Liu, Linbo; Fernandez, Courtney M; Solomon, George M; Lin, Vivian; Shastry, Suresh; Mazur, Marina; Sloane, Peter A; Hanes, Justin; Grizzle, William E; Sorscher, Eric J; Tearney, Guillermo J; Rowe, Steven M	2016	20	23
108	Cystic Fibrosis	Mucosal Clearance	Human/patient primary or stem cells 	Primary human NHBE cells	Model of Human Airway Mucosa	CTFR Activity	Medium / Low (Lab scale)	Mechanistic Studies		Combination therapy with cystic fibrosis transmembrane conductance regulator modulators augment the airway functional microanatomy.	https://doi.org/10.1152/ajplung.00395.2015	Birket, Susan E; Chu, Kengyeh K; Houser, Grace H; Liu, Linbo; Fernandez, Courtney M; Solomon, George M; Lin, Vivian; Shastry, Suresh; Mazur, Marina; Sloane, Peter A; Hanes, Justin; Grizzle, William E; Sorscher, Eric J; Tearney, Guillermo J; Rowe, Steven M	2016	20	23
108	Cystic Fibrosis	Mucosal Clearance	Human/patient primary or stem cells 	Primary human NHBE cells	Model of Human Airway Mucosa	Cillia beating Frequency	Medium / Low (Lab scale)	Mechanistic Studies		Combination therapy with cystic fibrosis transmembrane conductance regulator modulators augment the airway functional microanatomy.	https://doi.org/10.1152/ajplung.00395.2015	Birket, Susan E; Chu, Kengyeh K; Houser, Grace H; Liu, Linbo; Fernandez, Courtney M; Solomon, George M; Lin, Vivian; Shastry, Suresh; Mazur, Marina; Sloane, Peter A; Hanes, Justin; Grizzle, William E; Sorscher, Eric J; Tearney, Guillermo J; Rowe, Steven M	2016	20	23
109	Respiratory Disease - General	Barrier Function / Integrity	Bioreactor	Primary human tracheobronchial epithelial cells 	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Temporal Monitoring of Differentiated Human Airway Epithelial Cells Using Microfluidics	https://doi.org/10.1371/journal.pone.0139872	Blume, Cornelia; Reale, Riccardo; Held, Marie; Millar, Timothy M.; Collins, Jane E.; Davies, Donna E.; Morgan, Hywel; Swindle, Emily J.	2015	12	14
109	Respiratory Disease - General	Barrier Function / Integrity	Bioreactor	Primary human tracheobronchial epithelial cells 	Model development - experim	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Temporal Monitoring of Differentiated Human Airway Epithelial Cells Using Microfluidics	https://doi.org/10.1371/journal.pone.0139872	Blume, Cornelia; Reale, Riccardo; Held, Marie; Millar, Timothy M.; Collins, Jane E.; Davies, Donna E.; Morgan, Hywel; Swindle, Emily J.	2015	12	14
110	Respiratory Disease - General	Exploratory/ no specific feature	Human/patient primary or stem cells 	Alveolar epithelial type II (ATII) cells 	Model development - experim	mRNA expression	Medium / Low (Lab scale)	High Potential to become a disease model		Breaking the in vitro alveolar type II cell proliferation barrier while retaining ion transport properties.	https://doi.org/10.1165/rcmb.2013-0071OC	Bove, Peter F; Dang, Hong; Cheluvaraju, Chaitra; Jones, Lisa C; Liu, Xuefeng; O'Neal, Wanda K; Randell, Scott H; Schlegel, Richard; Boucher, Richard C	2014	17	16
110	Respiratory Disease - General	Exploratory/ no specific feature	Human/patient primary or stem cells 	Alveolar epithelial type II (ATII) cells 	Model development - experim	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	High Potential to become a disease model		Breaking the in vitro alveolar type II cell proliferation barrier while retaining ion transport properties.	https://doi.org/10.1165/rcmb.2013-0071OC	Bove, Peter F; Dang, Hong; Cheluvaraju, Chaitra; Jones, Lisa C; Liu, Xuefeng; O'Neal, Wanda K; Randell, Scott H; Schlegel, Richard; Boucher, Richard C	2014	17	16
110	Respiratory Disease - General	Exploratory/ no specific feature	Human/patient primary or stem cells 	Alveolar epithelial type II (ATII) cells 	Model development - experim	Airway Surface Liquid (ASL) volume	Medium / Low (Lab scale)	High Potential to become a disease model		Breaking the in vitro alveolar type II cell proliferation barrier while retaining ion transport properties.	https://doi.org/10.1165/rcmb.2013-0071OC	Bove, Peter F; Dang, Hong; Cheluvaraju, Chaitra; Jones, Lisa C; Liu, Xuefeng; O'Neal, Wanda K; Randell, Scott H; Schlegel, Richard; Boucher, Richard C	2014	17	16
111	Cystic Fibrosis	Exploratory/ no specific feature	Spheroid	Human Airway Epithelial Cells of Nasal origin (hAECN)	Disease therapy development	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Detection of CFTR function and modulation in primary human nasal cell spheroids.	https://doi.org/10.1016/j.jcf.2017.06.010	Brewington, John J; Filbrandt, Erin T; LaRosa, F J 3rd; Ostmann, Alicia J; Strecker, Lauren M; Szczesniak, Rhonda D; Clancy, John P	2018	9	12
112	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D co-culture	Calu-3	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Adapting the Electrospinning Process to Provide Three Unique Environments for a Tri-layered In Vitro Model of the Airway Wall	https://doi.org/10.3791/52986	Bridge, Jack C.; Aylott, Jonathan W.; Brightling, Christopher E.; Ghaemmaghami, Amir M.; Knox, Alan J.; Lewis, Mark P.; Rose, Felicity R. A. J.; Morris, Gavin E.	2015	7	8
112	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D co-culture	Primary human ASMCs	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Adapting the Electrospinning Process to Provide Three Unique Environments for a Tri-layered In Vitro Model of the Airway Wall	https://doi.org/10.3791/52986	Bridge, Jack C.; Aylott, Jonathan W.; Brightling, Christopher E.; Ghaemmaghami, Amir M.; Knox, Alan J.; Lewis, Mark P.; Rose, Felicity R. A. J.; Morris, Gavin E.	2015	7	8
112	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D co-culture	MCR5 Fibroblasts	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Adapting the Electrospinning Process to Provide Three Unique Environments for a Tri-layered In Vitro Model of the Airway Wall	https://doi.org/10.3791/52986	Bridge, Jack C.; Aylott, Jonathan W.; Brightling, Christopher E.; Ghaemmaghami, Amir M.; Knox, Alan J.; Lewis, Mark P.; Rose, Felicity R. A. J.; Morris, Gavin E.	2015	7	8
113	Asthma	Angiogenesis	Human/patient ex-vivo tissue or body fluids 	Primary human ASMCs	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Drug Discovery		Reduction of Tumstatin in Asthmatic Airways Contributes to Angiogenesis, Inflammation, and Hyperresponsiveness	https://doi.org/10.1164/rccm.200904-0631OC	Burgess, Janette K.; Boustany, Sarah; Moir, Lyn M.; Weckmann, Markus; Lau, Justine Y.; Grafton, Karryn; Baraket, Melissa; Hansbro, Philip M.; Hansbro, Nicole G.; Foster, Paul S.; Black, Judith L.; Oliver, Brian G.	2010	41	39
113	Asthma	Angiogenesis	Human/patient ex-vivo tissue or body fluids 	Primary human ASMCs	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		Reduction of Tumstatin in Asthmatic Airways Contributes to Angiogenesis, Inflammation, and Hyperresponsiveness	https://doi.org/10.1164/rccm.200904-0631OC	Burgess, Janette K.; Boustany, Sarah; Moir, Lyn M.; Weckmann, Markus; Lau, Justine Y.; Grafton, Karryn; Baraket, Melissa; Hansbro, Philip M.; Hansbro, Nicole G.; Foster, Paul S.; Black, Judith L.; Oliver, Brian G.	2010	41	39
114	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Human pulmonary epithelial cell lines NCI-H441	Model development - experim	Bioeleectric Properties	Medium / Low (Lab scale)	Mechanistic Studies		Magnetofection Enhances Lentiviral-Mediated Transduction of Airway Epithelial Cells through Extracellular and Cellular Barriers	https://doi.org/10.3390/genes7110103	Castellani, Stefano; Orlando, Clara; Carbone, Annalucia; Di Gioia, Sante; Conese, Massimo	2016	4	3
115	Respiratory Disease - General	Inflammation	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		House dust mite extract induces growth factor expression in nasal mucosa by activating the PI3K/Akt/HIF-1 alpha pathway	https://doi.org/10.1016/j.bbrc.2015.12.110	Chen, Xi; Li, Ying-Ying; Zhang, Wei-Qiang; Zhang, Wei-Ming; Zhou, Han	2016	3	1
115	Respiratory Disease - General	Inflammation	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		House dust mite extract induces growth factor expression in nasal mucosa by activating the PI3K/Akt/HIF-1 alpha pathway	https://doi.org/10.1016/j.bbrc.2015.12.110	Chen, Xi; Li, Ying-Ying; Zhang, Wei-Qiang; Zhang, Wei-Ming; Zhou, Han	2016	3	1
116	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Human pluripotent stem cells (hPSCs)	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		A three-dimensional model of human lung development and disease from pluripotent stem cells.	https://doi.org/10.1038/ncb3510	Chen, Ya-Wen; Huang, Sarah Xuelian; de Carvalho, Ana Luisa Rodrigues Toste; Ho, Siu-Hong; Islam, Mohammad Naimul; Volpi, Stefano; Notarangelo, Luigi D; Ciancanelli, Michael; Casanova, Jean-Laurent; Bhattacharya, Jahar; Liang, Alice F; Palermo, Laura M; Porotto, Matteo; Moscona, Anne; Snoeck, Hans-Willem	2017	70	66
116	Respiratory Disease - General	Exploratory/ no specific feature	Organoid model 	Human pluripotent stem cells (hPSCs)	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		A three-dimensional model of human lung development and disease from pluripotent stem cells.	https://doi.org/10.1038/ncb3510	Chen, Ya-Wen; Huang, Sarah Xuelian; de Carvalho, Ana Luisa Rodrigues Toste; Ho, Siu-Hong; Islam, Mohammad Naimul; Volpi, Stefano; Notarangelo, Luigi D; Ciancanelli, Michael; Casanova, Jean-Laurent; Bhattacharya, Jahar; Liang, Alice F; Palermo, Laura M; Porotto, Matteo; Moscona, Anne; Snoeck, Hans-Willem	2017	70	66
117	Asthma	Inflammation	Computational/in silico	Human pulmonary vascular smooth muscle cells	Model development - theoret	Inflammatory Mediators	Not relevant (e.g. In silico)	Disease Progression		The Role of Inflammation Resolution Speed in Airway Smooth Muscle Mass Accumulation in Asthma: Insight from a Theoretical Model	https://doi.org/10.1371/journal.pone.0090162	Chernyavsky, Igor L.; Croisier, Huguette; Chapman, Lloyd A. C.; Kimpton, Laura S.; Hiorns, Jonathan E.; Brook, Bindi S.; Jensen, Oliver E.; Billington, Charlotte K.; Hall, Ian P.; Johnson, Simon R.	2014	10	12
118	Asthma	Tissue/Cell Viability	Human/patient ex-vivo tissue or body fluids 	Human pulmonary vascular smooth muscle cells	Model development - experim	Other	Medium / Low (Lab scale)	Mechanistic Studies		Mechanical properties of asthmatic airway smooth muscle	https://doi.org/10.1183/09031936.00065411	Chin, Leslie Y. M.; Bosse, Ynuk; Pascoe, Chris; Hackett, Tillie L.; Seow, Chun Y.; Pare, Peter D.	2012	47	45
119	COPD	Senescence	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease therapy development	Gene expression	Medium / Low (Lab scale)	Disease Progression		The cyclooxygenase-2-prostaglandin E2 pathway maintains senescence of chronic obstructive pulmonary disease fibroblasts.	https://doi.org/10.1164/rccm.201208-1361OC	Dagouassat, Maylis; Gagliolo, Jean-Marie; Chrusciel, Sandra; Bourin, Marie-Claude; Duprez, Corinne; Caramelle, Philippe; Boyer, Laurent; Hue, Sophie; Stern, Jean-Baptiste; Validire, Pierre; Longrois, Dan; Norel, Xavier; Dubois-Rande, Jean-Luc; Le Gouvello, Sabine; Adnot, Serge; Boczkowski, Jorge	2013	47	45
