Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
17	General	Cancer classification	cancer identification and classification			n/a	Calu-6, NCI-H1299, HT-29,HepG2, 1321NI	In vitro	Cells	Immortalized cells	MPS	2D	n/a	n/a	Model/method dev - exp	tryptophan and kynurenine metabolism	Low	Yes	Direct	Proof of Concept	Low	No	2017	Karami, P	10.1016/j.bios.2016.11.010
18	Edwig Sarcoma, Neuroblastoma	Immunotherapy	immunotherapy			HLA-A*02:01 primary cells	TC-71, SK-N-MC, MHH-NB11	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotxicity, STEAP1	Low	Yes	Supportive	Qualified externally	Low	No	2016	Schirmer, D	10.1080/2162402X.2016.1175795
19	Neuroblastoma	Allele population study	allele population study			PBMCs 	SKNBE(1)n and SKNMM	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	KIR3DL1, HLA-B, correlation	Low	Yes	Direct	Proof of Concept	Low	No	2016	Forlenza, CJ	10.1200/JCO.2015.64.9558
20	Anaplastic Large Cell Lymphoma	Immunomodulation	immunomodulation			n/a	CD8+ T cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T cell response	Medium	Yes	Direct	Proof of Concept	Low	No	2016	Singh, VK	10.1111/cei.12842
21	Oral Squamous Cell Carcinoma (Oscc)	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		n/a	HSC-3, OSCC3, SCC-14a/b, SCC-4, SCC1, CAL27, HIOEC-B (HB), HaCaT	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2017	Ding, L	10.1158/1535-7163.MCT-16-0454
22	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation			NK cells	 H460 (lung), LNCaP (prostate), MCF-7 (estrogen receptor positive breast cancer) and MDA-MB-231 (triple negative breast cancer) 	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	degranulation, CD107, cytotoxicity, IL-15SA/IL-15RA, TGF-β1, SMAD2/3, EGFR	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Fujii, R	10.1007/s00262-018-2121-4
23	General (Cells As Instrumental)	Immunotherapy	immunotherapy			Monocyte, HUVEC	MDA-MB-231, MDA-MB-468	In vitro	Cells	Immortalized cells / primary cell culture	MPS	3D	Scaffolds	n/a	Disease mechanism (exp/theor)	migration, extravasion	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Boussommier-Calleja, A	10.1016/j.biomaterials.2018.03.005
24	Melanoma	Immunotherapy	immunotherapy			n/a	Human iPSCs derived from melanoma TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	OCT3/4, SOX2, KLF4, and c-MYC, morphology, karyotype	Low	Yes	Supportive	Proof of Concept	High	No	2016	Saito, H	10.1155/2016/8394960
25	Glioblastoma Multiforme	Immunotherapy	immunotherapy			macrophages	GL261 and CT-2A GBM-like	In vitro	Cells	Immortalized cells / primary cell culture	MPS	3D	Organoids	n/a	Disease therapy dev	angiogenesis,  cell-adhesion	Low	No	Direct	Proof of Concept	Low	No	2018	Cui, X	10.1016/j.biomaterials.2018.01.053
26	Pancreatic Cancer	Cancer initiation and develop.	cancer initiation and dev	 microenvironment 		CAFs	MCW670, Panc-1	In vitro	Cells	Primary cell culture	Coculture	3D	Organoids	n/a	Disease mechanism (exp/theor)	alpha-SMA, CK19, morphology, citotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2018	Tsai, S	10.1186/s12885-018-4238-4
27	Nasopharyngeal Cancer	Immunotherapy	immunotherapy			CIKs, CAR-T	SUNE1, 5–8F, S18, S26 and CNE2	In vitro	Cells	Primary cell culture	Coculture	3D	Spheroids	n/a	Disease therapy dev	ROR1, 5T4, CAIX, Nanog, OCT4, LDH , IFN-γ secretion, degranulation	Low	Yes	Direct	Proof of Concept	Low	No	2017	Guo, XY	10.1038/s41598-017-04756-9
28	Anaplastic Thyroid Carcinoma	Virotherapy 	virotherapy 			n/a	8505-c, TPC1, BHT101-5	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	IL-8/CXCL8, MCP-1/CCL2, angiogenesis, macrophage infiltration, p65, E1A	Low	Yes	Direct	Qualified externally	Low	No	2016	Passaro, C	10.18632/oncotarget.6430
29	Colorectal Cancer	Immunotherapy	immunotherapy			NK cells	A431, Colo320, SW480, Caco-2, SW620, HT-29	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	EGFR, cytotoxicity, degranulation, IFNγ, citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2016	Veluchamy, JP	10.1371/journal.pone.0157830
30	Head And Neck Squamous Cell Carcinoma	Immunotherapy	immunotherapy			PBMCs	aDu	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	angiogenesis, caspase-3, p53, proliferation,  IL-6, TNF-α and IFN-γ, and a EGFR, CD4, CD8	Low	Yes	Direct	Qualified externally	Low	No	2017	Sanchez-Rodriguez, C	10.1016/j.vaccine.2017.10.008
31	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	NK	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	Angiogenin, MMP9, TIMP2, angiogenesis, degranulation, cell-adhesion, ÑK secretome	Low	Yes	Direct	Proof of Concept	Low	No	2018	Bruno, A	10.1096/fj.201701103R
32	Breast Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	vaccine structure	Low	Yes	Direct	Proof of Concept	Low	Yes	2019	Parvizpour, S	10.15171/bi.2019.06
33	General	Immunotherapy	immunotherapy			n/a	Natural Killer (NK) and CD8C T immune cells	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	Tumor immune dynamics	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	de Pillis, LG	10.1007/978-1-4939-1793-8_4
34	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	predicted clinical outcome	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Bianca, C	https://ieeexplore.ieee.org/abstract/document/8217871/
35	Hepatic Cancer	Immunotherapy	immunotherapy			T-cells	MDA-MB-231	In vitro	Cells	Immortalized cells / primary cell culture	MPS	3D	Scaffolds	n/a	Disease therapy dev	extravasation,  T-cell migration and cytotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2015	Pavesi, A	10.1109/EMBC.2015.7318742
36	General	Microenvironment	microenvironment			n/a	NK cells	In vitro	Cells	Primary cell culture	MPS	2D	n/a	n/a	Disease mechanism (exp/theor)	cell-cell contact, immuno response, apoptosis	Low	Yes	Direct	Proof of Concept	Low	No	2018	Ke, LY	10.1039/c7lc00963a
37	Colorectal Cancer	Immunotherapy	Immunotherapy	 microenvironment		n/a	n/a	In silico	Computational	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	migration, Lymphocytes levels, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Kather, JN	10.1158/0008-5472.CAN-17-2006
38	General	Immunotherapy	immunotherapy			n/a	T-cells	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	NY-ESO-1, CA-15–3, CEA and survivin	Low	Yes	Direct	Proof of Concept	Low	No	2015	Hemminki, O	10.18632/oncotarget.2901
39	Urothelial Bladder Cancer	Immunotherapy	immunotherapy			B cells,T cells 	K562 or Daudi	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD86, IL-10, TNF-α	Low	Yes	Direct	Proof of Concept	Low	No	2017	Zirakzadeh, AA	10.1016/j.clim.2016.12.003
40	General	Immunotherapy	immunotherapy			n/a	T-cells	In vitro	Cells	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	T-cell response, BTLA, HVEM	Low	No	Direct	Qualified externally	Low	No	2017	Spodzieja, M	10.1371/journal.pone.0179201
41	Chronic Myelogenous Leukemia	Anti-Cancer Therapy	anti-cancer therapy			n/a	NK cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	RAS, RAF, ERK, AKT, proliferation, citotoxicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Lohmeyer, J	10.1111/cei.13128
42	Non-Small Cell Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	Yes	2018	Piretto, E.	10.1080/23737867.2018.1465862
43	General	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Sakode, CM	10.1016/j.bspc.2014.04.010
44	Leukaemia	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Bunimovich-Mendrazitsky, S	10.1007/s10957-017-1161-9
45	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	temporal dynamics of cytotoxic T cells and cancer cells	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Gong, C	10.1098/rsif.2017.0320
46	Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev	 microenvironment 		n/a	T cells from ascites Lymphocytes	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	migration,  CCL22, CXCL9, CXCL10 and CXCL12, N gamma and TNF alpha	Low	Yes	Direct	Proof of Concept	Low	No	2018	Idorn, M	10.1080/2162402X.2017.1412029
47	General	Immunotherapy	immunotherapy			n/a	T-cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	IL-2, IL-7 and IL-15	Low	Yes	Direct	Proof of Concept	Low	No	2015	Kayser, S	10.1080/2162402X.2014.1002723
48	Breast Cancer, Ovarian Cancer	Immunotherapy	immunotherapy			T-cells	SK-BR-3, BT-474, MCF-7, MDA-MB-231, SK-OV-3	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Cytokines, cytotoxicity, PD-L1, IFNγ 	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2015	Datta, J	10.1158/2326-6066.CIR-14-0208
49	Leukaemia	Immunotherapy	immunotherapy			PBMCs	HL-60, macrophages	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Ang, RNH1, cytotoxicity	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2015	Cremer, C	10.1007/s00262-015-1763-8
50	Acute Myeloid Leukemia	Immunotherapy	immunotherapy			n/a	NK cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	IL-2, CD56, CD16, NKG2D, NKp30, IFN-γ, NKp46 and increases NKG2A/CD94	Low	Yes	Direct	Proof of Concept	Low	No	2016	Cuapio, A	10.18632/oncotarget.10191
51	General	Immunotherapy	immunotherapy			n/a	T-cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD3/CD28, IL-21, CD3, CD28, CD4(+) and CD8(+) memory stem T cells	Low	Yes	Direct	Proof of Concept	Low	No	2016	Alvarez-Fernandez, C	10.1186/s12967-016-0973-y
52	Melanoma	Chemiotherapy	Chemiotherapy			NK cells	MeCoP, MeTA, MeDeBO, and MeOV	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	cytotoxicity, IL-2, IL-15, IL-18, Ki67	Medium	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2016	Manzini, C	10.18632/oncotarget.11504
53	Melanoma	Immunotherapy	immunotherapy			n/a	CIK cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	cytotoxicity, secreted citokines	Low	Yes	Direct	Proof of Concept	Low	No	2017	Li, H	10.1007/s00262-016-1939-x
54	Renal Cell Carcinoma	Immunotherapy	immunotherapy			TILs	RCC cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	T-cell response, TIL reactivity , HLA-I, CD- proteins	Low	No	Direct	Proof of Concept	Low	No	2018	Andersen, R	10.1158/2326-6066.CIR-17-0467
55	Non-Small Cell Lung Cancer	Tumor classification	Tumor classification	 patient stratification		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Park, W	10.1016/j.cllc.2017.12.007
56	Burkitt’S Lymphoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	BT-474, BJAB	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	cytotoxicity, HER2, CD79b, Calreticulin , HMGB1, apoptosis, CXCL10 	Low	Yes	Direct	Qualified externally	Low	No	2019	Bauzon, M	10.1080/2162402X.2019.1565859
57	General	Immunotherapy	immunotherapy			n/a	T cells	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Diagnosis of disease Model/method dev - theor	Treg immunosuppressive activity, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Dawkins, BA	10.1117/12.2217432
58	General	Anti-Cancer Therapy/Immunotherapy	Radiotherapy immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	tumour-immune interaction	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Yang, J	10.1016/j.matcom.2014.09.001
59	General	Virotherapy 	virotherapy 			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	viral infection, cytotoxicity	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Kim, KS	10.1016/j.matcom.2018.01.003
60	General	Tumor classification	Tumor classification	 patient stratification		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	tumor volumes	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Wilkie, KP	10.1007/s11538-017-0291-4
61	Bladder Cancer	Tumor classification	Tumor classification	 patient stratification		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	IL-2, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Bunimovich-Mendrazitsky, S	10.1093/imammb/dqv007
62	General Metastatic Cancer	Radiotherapy	Radiotherapy			n/a	T cells	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	T-cell trafficking	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Poleszczuk, JT	10.1158/0008-5472.CAN-15-1423
63	General	Anti-Cancer Therapy	immunotherapeutic agents design and discovery			n/a	HeLa	In vitro	Cells	Immortalized cells	MPS	2D	n/a	n/a	Drug dev/testing	proliferation	Medium	Yes	Direct	Qualified externally	Medium	No	2017	Wu, L	10.1007/s12274-016-1316-2
64	Breast Cancer	Immunomodulation	immunomodulation			n/a	n/a	In silico	Computational	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	STAT3, RNA profiling	Low	Yes	Direct	Proof of Concept	Low	No	2014	Tell, RW	10.1073/pnas.1404881111
65	Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 immunomodulation		n/a	TILs	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	MAP3K3, correlation	Low	Yes	Direct	Proof of Concept	Low	No	2015	He, YL	10.1038/srep11471
66	Renal Cell Carcinoma	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		n/a	TILs, Myeloid-derived suppressor cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	Biopsies	Disease therapy dev	cell proliferation, cytotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2015	Guislain, A	10.1007/s00262-015-1735-z
67	Non-Small Cell Lung Cancer	Tumor classification	Tumor classification	 patient stratification		n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Diagnosis of disease	PD-L1, FOXP3, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Han, JJ	10.1016/j.cllc.2015.11.006
68	Human Leukemia, Mesothelioma	Immunotherapy	immunotherapy			T-cells, PBMCs	SET-2, BV173, 697, SKLY-16, BA25, HL-60, Meso/A24 	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD14, CD3, IFN-gamma, cytotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Dao, T	10.1080/2162402X.2016.1252895
69	Nasopharyngeal Cancer	Immunotherapy	immunotherapy			n/a	T-cells, PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	correlation, T cell, cytokine	Low	Yes	Direct	Proof of Concept	Low	No	2017	Smith, C	10.1080/2162402X.2016.1273311
70	Urothelial Bladder Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers			mast cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	IL-17 mast cells count, correlation	Low	Yes	Direct	Proof of Concept	Low	No	2017	Dowell, AC	10.1371/journal.pone.0184841
71	General	Immunotherapy	immunotherapy			n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Model/method dev - exp	DNA profile, IFNγ	Low	Yes	Direct	Proof of Concept	High	Yes	2018	Danilova, L	10.1158/2326-6066.CIR-18-0129
72	Epithelial Cancers	Tumor classification	Tumor classification			n/a	T-cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	SMAD5, IFNγ, DNA profile, mutation profile 	Low	Yes	Direct	Proof of Concept	High	Yes	2019	Cafri, G	10.1038/s41467-019-08304-z
73	General	Tumor classification	Tumor classification	 patient stratification		n/a	n/a	In silico	Computational	n/a	n/a	n/a	n/a	n/a	Diagnosis of disease	tumor mutational burden	Low	Yes	Direct	Proof of Concept	Low	Yes	2019	Endris, V	10.1002/ijc.32002
74	General	Immunotherapy	immunotherapy			n/a	T cells	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	Cytokines	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Wei, HC	10.1155/2017/2906282
75	Non-Small Cell Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	H1299 and H226B	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	cytotoxicity, apoptosis, Hsp90, viability and Colony formation	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Hyun, SY	10.1038/s41598-018-32196-6
76	Melanoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	panel of solid and liquid tumors	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Drug dev/testing	cytotoxicity, HSPA, endoplasmic retuculum stress, autophagy, apoptosis	Low	Yes	Direct	Qualified externally	Low	No	2017	Cerezo, M	10.1080/15548627.2016.1246107
77	Renal Cell Carcinoma	Immunotherapy	immunotherapy			n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	NY-ESO-1, Cytokeratin	Low	Yes	Direct	Proof of Concept	Low	No	2014	Giesen, E	10.18632/oncotarget.2101
78	Non-Hodgkin Lymphoma	Immunotherapy	immunotherapy			n/a	T cell	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	HLA, IFNγ , cytokine , cytotoxicity	Low	Yes	Direct	Proof of Concept	Low	No	2017	Nelde, A	10.1080/2162402X.2016.1219825
79	Diffuse Large B-Cell Lymphoma	Microenvironment	microenvironment			n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	RNA profile, CD3, FoxP3	Low	Yes	Direct	Proof of Concept	Low	No	2015	Coutinho, R	10.3324/haematol.2014.110189
80	Leukaemia/Lymphoma/Myeloma	Immunotherapy	immunotherapy			NK cells	KG-1a	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	Cytotoxicity, degranulation, and cytokine release, CD16, CD56	Low	Yes	Direct	Qualified externally	Low	No	2017	Kloss, S	10.1089/hum.2017.157
81	Bladder Cancer	Immunotherapy	immunotherapy			n/a	NK cells, PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	Cytotoxicity, IL2Rα, CD56, CD69, IL6, IL12p70, TNFα	Low	Yes	Direct	Proof of Concept	Low	No	2017	Garcia-Cuesta, EM	10.1080/2162402X.2017.1293212
