Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
38	AD	Exploratory/ no specific feature	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Changed protein expression	High (automatic)/medium	Medium - In vitro diagnostic that can look at multiple protein biomarkers from platelets	Authors state interest in assessment of pathological signifigance in patients with incipient AD	http://dx.doi.org/10.1007/s00401-014-1341-8	Veitinger	2014
39	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Medium - Molecular dynamic simulations to show A beta fibrillar membrane disruption and stability of fibrillary structures	Improvements to the model membrane and use of full length Abeta protofibrils, and longer MD simulations	http://dx.doi.org/10.1039/c7cp05959k	Dong	2017
40	AD	Protein aggregation	Computational/in silico	In silico model	Drug developm/ testing	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Low - Molecular dynamic simulations to study the interactions between Bexarotene(cancer drug) and Abeta 	from the author - Recently the impact of bexarotene derivatives on the behavior of retinoid X-receptor has been investigated by MD and molecular flooding simulations.63 It would be interesting to carry out a similar study for Aβ aggregation to screen out potent drug candidates for AD.	http://dx.doi.org/10.1021/acschemneuro.7b00107	Pham Dinh Quoc	2017
41	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Diagnosis of disease	Other	Low-medium/low	Medium - Disease progression model	Continous omprovement of the model through application to individual  cases	http://dx.doi.org/10.1002/sim.7300	Budgeon	2017
42	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/low	Medium - Investigation into the effect of Abeta on Ca hometostasis w/i the neuron	From the authors - The algorithms used can also link to other multiscale multi-cellular modeling platforms to fill in molecular gaps that we believe will assist in broadening and refining multiscale computational maps of neurodegeneration.	http://dx.doi.org/10.2147/IJN.S152664	Banerjee	2018
43	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	High (automatic)/low	Low - Generic Computation model to explore motif signatures of protein cabonylation sites	The substrate motifs were made available in an online database, the authors hope will facilitate the study of carbonylated proteomes	http://dx.doi.org/10.1186/s12918-017-0511-4	Kao	2017
44	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Neurodegeneration: hippocampal or other	Low-medium/low	High - A very thurough investigation into the sub-ceullar target of amyloid beta aggregates that results in neuronal death	Possible new strategy for treating AD - block the ASPD-NAKa3 interaction 	http://dx.doi.org/10.1073/pnas.1421182112	Ohnishi	2015
45	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/low	Low - A quantitative sequence-aggregation relationship (QSAR) model for the characterization of ammino acid formation and protein aggregation	Possible to apply protein folding knowledge to drug discovery	http://dx.doi.org/10.1016/j.chemolab.2015.04.009	Chen	2015
46	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Medium - A bioinformatics approach to predict amyloidogenicity of AA sequences	Authors plan to use in analysis of proteomes to find new amyloidogeneic proteins	http://dx.doi.org/10.1016/j.jalz.2014.06.007	Ahmed	2015
47	AD	Protein aggregation	Computational/in silico	In silico model	Drug developm/ testing	Other	Low-medium/low	Low - A MD model to study the interaction between SGA1 complexes with Abeta	na	http://dx.doi.org/10.1139/cjc-2016-0267	Amini	2016
48	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Low - A model for studying the interaction of Aluminum (Al III) and Abeta	This computaional pipeline could explore the interaction of other metal alloys with Abeta	http://dx.doi.org/10.1039/c7sc01296a	Mujika	2017
49	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Low - A model for studying the interaction of the Abeta residue Tyrosine  with the overall structure of AB42	This new clustering algorithm may help in selecting disordered protein structure ensembles for drug design studies.	http://dx.doi.org/10.1021/acs.jcim.6b00761	Coskuner	2017
50	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/low	Low - very low-level study of fibril formation	Could be used for microfabrication of protein aggregates for further study	http://dx.doi.org/10.1039/c5sm02022k	Rochman	2016
51	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Low - A Pharmacophore and Molecular Docking model to study acetylcholinesterase (AChE) inhibtors	From the authors - Future research will include incorporating biotransformation of organophosphates, and developing a 3D-QSAR model for planar compounds such as PAHs that do not contain the rotational bond complexity of AChEIs.	http://dx.doi.org/10.1093/toxsci/kfv160	Lee	2015
52	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Disease mechanism (exp/theor)	other	Low-medium/medium	Medium - a Model-driven comparison beween healthy and disease state, with emphasis on APP -> Abeta neurotoxicity	From the authors - First, given the pace of scientific research, the models need to be improved by regular update as more data and knowledge becomes available. Second, the current version of BEL describes biological interactions qualitatively and in cases where the same processes happen in both disease and normal tissue, quantitative information—when available in the literature—could allow a finer grained comparison of the diseased and normal state. Last, many studies on pathophysiology of neurodegenerative diseases like AD have been carried out in animal models, but it is not clear how well these findings are in agreement with humans. The computerization of such biological processes for representation, analysis, and comparison of interspecies mechanistic details will be a significant step forward in translational research.	http://dx.doi.org/10.1016/j.jalz.2015.02.006	Kodamullil	2015
53	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Drug developm/ testing	Other	Low-medium/medium	Low - A Molecular Docking model to study acetylcholinesterase (AChE) inhibtors	From the aurthor - These computational assessments present useful parameters for future designs of potential diseasemodifying therapeutics based on (+)-arisugacin A. Synthetic efforts toward some of these computationally designed structural analogs are underway.	http://dx.doi.org/10.1016/j.bmcl.2015.06.047	Al-Rashid	2015
54	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Medium - A molecular dynamics simulation investigating the structure of Abeta trimers	 This trimer structure could be used as a reference for mutation studies, inhibitor discovery	http://dx.doi.org/10.1039/c6cp05511g	Son Tung Ngo	2017
55	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Drug developm/ testing	other	Low-medium/medium	Low - A model for discovery of BChEI, focusing on changes to the carrier scaffold	Could be applied for development of other pseudo-irreversible enzyme inhibitors.	http://dx.doi.org/10.1021/acs.jmedchem.5b01674	Sawatzky	2016
56	Several NDD	Exploratory/ no specific feature	Computational/in silico	In silico model	Disease mechanism (exp/theor)	other	Low-medium/low	Medium - a system level approach to compare PD AD PPI and biochemcially similar pathways	Could be used to identify similarities in any biological network. The similar clusters between AD and PD could be individually probed in future research	http://dx.doi.org/10.1186/s12918-016-0270-7	Calderone	2016
57	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	other	Low-medium/low	Low - Relationship between cystatin variant and abeta aggregation	From the author - More experimental approaches are necessary to reveal in full the mechanism of action of variant B cystatin C in these major degenerative diseases and we are actively pursuing such studies. With the actual lack of any in vitro aggregation experimental evidence to link the higher incidence of AD and AMD with variant B cystatin C, we believe that this study provides the important first clues for further investigations.	http://dx.doi.org/10.1002/1873-3468.12093	Sant'Anna	2016
58	AD	Protein aggregation	Biochemical/cell-free assay	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/low	Low - Relationship between cystatin variant and abeta aggregation	From the author - More experimental approaches are necessary to reveal in full the mechanism of action of variant B cystatin C in these major degenerative diseases and we are actively pursuing such studies. With the actual lack of any in vitro aggregation experimental evidence to link the higher incidence of AD and AMD with variant B cystatin C, we believe that this study provides the important first clues for further investigations.	http://dx.doi.org/10.1002/1873-3468.12093	Sant'Anna	2016
59	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Drug developm/ testing	Other	Low-medium/low	Low - A new tool for predicting the affinity of heteroaryl-acrylonitriles as AChEIs	From the author - The CoMSIA model reported here captured the molecular features contained in the compounds from the group of Parveen et al. [19], and they should be considered in the future design of acrylonitrile derivatives as AChE inhibitors. T	http://dx.doi.org/10.1016/j.jtice.2015.07.022	De-la-Torre	2016
60	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Low - 	They provide a basis for further mechanistic studies and therapeutic endeavors that could potentially result in novel ways of combating AGE related AD progression.The current results pave the way for further mechanistic studies into how glycation may affect the nucleation mechanisms of the Ab assembly and the formation and stabilities of highly ordered aggregates.	http://dx.doi.org/10.1039/c6cp05041g	Jana	2016
61	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Diagnosis of disease	na	Low-medium/medium	High  - A artificial neural network used to model disease progression/prognosis from oxidative and inflammatory markers	From the Authors -  Focusing on the early detection of the immune deficeit described could be of interest in searching for impairment as cognitive symptoms appear and and used to control treatment of pathology	http://dx.doi.org/10.3233/JAD-141116	Gironi	2015
62	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Low - A NEW discrete mathmatical model for aggregation of Beta-amyloid	Validation should be completed in future work	http://dx.doi.org/10.1371/journal.pone.0196402	Dayeh	2018
63	AD	Neuronal loss	Computational/in silico	In silico model	Model/method development - theoret	Apoptosis/cell death	Low-medium/medium	Medium - a new model showing progression from Abeta deposition to cell death	Validation	http://dx.doi.org/10.1186/s12918-018-0529-2	Ranjan	2018
64	AD	Exploratory/ no specific feature	Computational/in silico	In silico model	Model/method development - theoret	Changed gene expression	Low-medium/low	High - Identification of signaling networks in AD pathogenesis	Global gene Expression understanding could be used in genetic modification studies to observe individual effect on pathologoy	http://dx.doi.org/10.3389/fphys.2018.00154	Ravichandran	2018
65	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Electrophysiological characterisation	Low-medium/medium	Medium - a model showing the effect of Abeta on neuronal electrophysiology	From the author -  Therefore, future work could incorporate a more detailed description of the parameter space involved with the membrane conductance increase mechanism through parameter sampling and experimental validation.	http://dx.doi.org/10.1016/j.jtbi.2013.02.012	Wilson	2013
66	AD	Protein aggregation	Computational/in silico	In silico model	Model/method validation	Other	Low-medium/low	Low - Very specific application of SNP algorithms	From the author - As a result, a human-curated database was generated that enables biologists and clinicians to explore SOD2 nsSNPs, including predictions of their effects and visualisation of the alignment of both the wild-type and mutant structures. The database is freely available at http:// bioinfogroup.com/database/ and will be regularly updated	http://dx.doi.org/10.1371/journal.pone.0065558	Castela de Carvalho	2013
67	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Medium - A course grain simulation to study protein self-replication, specifically shown with Abeta	Model could be applied to self-replication of other proteins	http://dx.doi.org/10.1038/NPHYS3828	Saric	2016
68	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Medium - A custom model "Fibpredictor" can predict fibril structures based on experimentally determined seeds	From the authors - The structures generated by our program can also be useful in interpreting experimental data, e.g., by fitting them to SAXS spectra or for interpreting residue interactions observed by NMR. Fibpredictor results can also be combined with more sophisticated but computationally demanding simulation methods to further refine the initial predicted structures, identify potentially important interactions in amyloid fibrils, study mechanical properties of amyloid fibril	http://dx.doi.org/10.1007/s00894-016-3066-1	Ghomi	2016
69	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Other	Low-medium/medium	Medium - A new "meta-predictor" model that combines several existing in silico methods to predict short AA segments that mau be seeds for fibril elongation	From the author - . The screening, with MetAmyl, of dedicated amyloid protein databases might help to better understand the formation of amyloid fibrils [67,70]. Thus, the propensity of some proteins to convert into their amyloid state might be investigated and MetAmyl could give new insights in explaining the development of neurodegenerative diseases.	http://dx.doi.org/10.1371/journal.pone.0079722	Emily	2013
70	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	na	Low-medium/medium	Medium - An exisiting model (linked) was modified to include processes involved in Abeta immunisation	Needs external/in vitro validation	http://dx.doi.org/10.1371/journal.pone.0073631	Proctor	2013
71	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	na	Low-medium/medium	Low - An original classificaiton method for determination of amyloidogenic segments "FISH amyloid"	Needs external/in vitro validation	http://dx.doi.org/10.1186/1471-2105-15-55	Gasior	2014
72	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Other	High (automatic)/low	Low - Simulated two dimensional ultraviolet spectroscopy is used to examine early formation and growth of amyloid fibrils	Similar to 2DIR, 2DUV could be used to study vibrational dynamics, secondary structure stability, and protein activation	http://dx.doi.org/10.1021/jp3101267	Lam	2013
73	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Other	Low-medium/low	Low - A very specific model to describe the time dependent response of Abeta to y-secretase inhibitors	From the author - This minimal model could have widespread impact on the development of drugs targeting A production in AD. The fact that a GSI can induce A production raises important questions for experimental and clinical investigation of A processing and ultimately AD that are beyond the scope of this study.	http://dx.doi.org/10.1074/jbc.M112.419135	Ortega	2013
74	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Other	Low-medium/medium	Medium - A new computaional model to investigate the relationship between estrogen and Abeta aggregate levels	From the author - These predictions could be tested experimentally using essentially the same in vitro and in vivo (mainly mouse) methods that were used to generate the data represented in the model. The results could be used to verify or correct the model, and verified predictions would provide avenues for development of new pharmacological strategies for the prevention and treatment of AD.	http://dx.doi.org/10.3389/fphar.2013.00016	Anastasio	2013
75	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Other	Low-medium/medium	Medium - A new model that describes the propogation/deposition of misfolding proteins and clearance	From the author - This study can be extended in multiple directions. These should include further validation of the developed formulation with animal models and longitudinal datasets, in order to characterize its robustness and predictive competence. In this sense, it would be of relevance to validate the identified epicenter regions, and to evaluate the ability of the model to predict future MP deposition states, and/or validate the estimated production and clearance rates	http://dx.doi.org/10.1371/journal.pcbi.1003956	Iturria-Medina	2014
76	AD	Neuronal loss	Computational/in silico	In silico model	Model/method development - theoret	Other	Low-medium/low	Low - A novel model used to describe the cytoskeletal collapse due to tau degradation	from the author - We plan future studies on combined mechanics/kinetics simulations of the MTBs under conditions of phosphorylation to attempt to determine the time scale for the collapse (which is not addressed here). We also will examine fully three dimensional models for the MTBs which include MT bending to provide a more realistic set of data for experimental tests on cultured cells.	http://dx.doi.org/10.1371/journal.pone.0104965	Sendek	2014
77	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Human-derived immortalised cell lines: neuronal	Model/method development - experim	Apoptosis/cell death	Low-medium/medium	Medium - An artificial membrane (polyacrylonitrile) bioreactor used to culture cells and study the neuroprotective effect of crocin	The model was used to show the potential neuroprotective effect of corcin, but should be confirmed in vivo	http://dx.doi.org/10.1016/j.cej.2016.01.035	Morelli	2016
78	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Low - A diagnostic immunosensor for Abeta	From the author -  However, it can be expected that the selected mouse monoclonal antibody may be also able to recognize A(1–40) which may be a limitation of this study. Since data attained with real biological samples (plasma and cerebral spinal fluid) are precious, more comprehensive studies will be conducted in the near future.	http://dx.doi.org/10.1016/j.snb.2016.07.181	Carneiro	2017
79	AD	Cholinergic dysfunction	Lab/brain on chip or microfluidic system	Other	Disease mechanism (exp/theor)	Electrophysiological characterisation	Low-medium/low	Medium - An in vitro biosensor for enzymatic kinetics, here applied to AChE	The biosensor could be employeed to study enzymatic kinetics in other applications	http://dx.doi.org/10.1016/j.snb.2018.06.010	Chae	2018
