Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year
						Vascular access dysfunction				
						Vascular genetic reactivity				
						Vascular hemodynamics				
						Vascular stent resistence evaluation				
						Vein occlusion				
						Vein of Galen malformation 				
						Venous system abnormalities in central nervous system				
						Vortex-ring mixing evaluation				
						Y graft effects on flow				
						Vortex-ring mixing evaluation				
						Y graft effects on flow				
