Model #	Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year	First Author Name	DOI	
14	Occlusive Disease 	Veins	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Inferior vena cava filters to prevent pulmonary embolism	High (Automated)	Supportive	Standardised 	2017	Aycock K.I.	10.1007/s10237-016-0857-3	
15	Occlusive Disease 	Veins	in silico	FEM	Disease therapy development	Prediction of device effects	Blood clot of inferior vena cava	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Aycock K.I.	10.1115/1.4027612	
16	Heart Valve Diseases 	Mitral Valve	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve remodeling evaluation	Medium / Low (Lab scale)	Predictive	Under development 	2017	Ayoub S.	10.1098/rsif.2017.0580	
17	Cardiovascular Abnormalities including CCD 	NA	ex vivo	NA	Disease mechanism (exp/theor)	Diagnosis of diseases	Tetralogy of Fallot	High (Automated)	Predictive	Under development 	2014	Baban A.  	10.1002/ajmg.a.36783	
18	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Transcatheter mitral valve replacement	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Bagur R.	10.1016/j.jcin.2017.10.049	
19	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	Atrial flutter / atrial fibrillation	High (Automated)	Direct	Optimisation	2014	Bahnson T.D.	10.1111/jce.12514	
20	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	Understanting of the genetic mutation effects on ventricular tachycardia	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Bai J.	10.1038/srep31262	
21	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Bypass grafts configuration in coronary artery disease	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Ballarin F.	10.1007/s10237-017-0893-7	
22	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Treatment strategies evaluation	Myocardium modeling	Medium / Low (Lab scale)	Supportive	Under development 	2014	Bane O.	10.1016/j.mri.2013.10.014	
23	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Valve failure	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Bapat V.	10.4244/EIJV11I11A251	
24	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve regurgitation	Not relevant (e.g. in silico)	Supportive	Under validation	2017	Bavo A.M.	10.1016/j.jbiomech.2016.11.039	
25	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Gene therapy of hypertrophic cardiomyopathy effectiveness evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Ben Jehuda R.	10.1016/j.hrthm.2017.09.024	
26	Heart Failure 	NA	in vitro without cells	NA	Disease therapy development	Prediction of device effects	LVAD Cannula effect	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Benk C.	10.1093/ejcts/ezt095	
27	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aortic root hemodynamics	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Berdajs D.	10.1093/ejcts/ezv295	
28	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Diagnosis of diseases	Hypertension complications	Medium / Low (Lab scale)	Predictive	Under development 	2017	Bersi M.R.	10.1098/rsif.2017.0327	
29	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Quantitative analysis of action potential parameters	Medium / Low (Lab scale)	Unknown	Optimisation	2013	Bett G.C.L.	10.1016/j.hrthm.2013.09.061	
30	Heart Valve Diseases 	Pulmonary Valve	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	RVOT obstuction	Medium / Low (Lab scale)	Supportive	Under validation	2013	Biglino G.	10.1186/1532-429X-15-2	
31	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Hypertrophic cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2015	Birket M.J.	10.1016/j.celrep.2015.09.025	
32	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Surgical and/or interventional planning	Subclavian stenoses	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Blanco P.J.	10.1016/j.jbiomech.2016.03.044	
33	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Aneurysm hemodynamics	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Blankena R.	10.3174/ajnr.A4734	
34	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Proarrhythmia prediction; in silico modeling prediction of proarrhythmic risk	Medium / Low (Lab scale)	Supportive	Under validation	2017	Blinova K.	10.1093/toxsci/kfw200	
35	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	MV geometry imaging reconstruction	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Bloodworth C.H.	10.1007/s10439-016-1734-z	
36	Aneurysm	Aorta	in silico	FEM	Disease mechanism (exp/theor)	Diagnosis of diseases	Aneurysm hemodynamics	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Boccadifuoco A. 	10.1007/s13239-018-00387-x	
37	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease effects on specific organs	Bicuspid aortic valve	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Bonomi D.  	10.1007/s10237-015-0679-8	
38	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2015	Bouchareb R. 	10.1161/CIRCULATIONAHA.115.016757	
39	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Prosthesis development	TMVR design	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Bozkurt S.	10.1007/s10439-017-1828-2	
40	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Arteriovenous fistula	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Browne L.D.	10.1007/s10439-015-1295-6	
41	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Device development	Regeneration of cardiovascular tissues	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Brugmans M.M.C.P.	10.1089/ten.tea.2015.0203	
42	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Paravalvular leak 	Not relevant (e.g. in silico)	Supportive	Optimisation	2016	Burriesci G.	10.1016/j.ijcard.2015.11.106	
43	Heart Valve Diseases 	Pulmonary Valve	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Calcific obstraction of RVOT	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Caimi A.	10.1016/j.jbiomech.2018.08.006	
44	Heart Valve Diseases 	Aortic Valve	in vitro without cells	NA	Disease therapy development	Disease effects on specific organs	Transcatheter aortic valve implantation	Not relevant (e.g. in silico)	Supportive	Optimisation	2016	Calderan J.	10.1111/aor.12589	
45	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Bicuspid aortic valve	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Cao K.	10.1016/j.jbiomech.2016.11.024	
46	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Congenital heart disease	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Capelli C. 	10.1098/rsfs.2017.0021	
47	Aneurysm	Aorta	in silico	FEM	Disease mechanism (exp/theor)	Diagnosis of diseases	Aneurysm hemodynamics	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Capellini K. 	10.1115/1.4040940	
48	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Vascular access dysfunction	Not relevant (e.g. in silico)	Supportive	Under validation	2013	Caroli A.	10.1038/ki.2013.188	
49	Heart Failure 	NA	in silico	FEM	Disease therapy development	Prediction of device effects	LVAD Cannula effect	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Caruso M.V.	10.1002/cnm.2700	
50	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Myocardial infarction	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Castells-Sala C.	10.1002/jbm.a.35482	
51	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Prediction of post-intervention outcomes	Abdominal vascular graft infection	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Charlton-Ouw K.M.	10.1016/j.jvs.2014.03.241	
52	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Monitoring of changes in cardiac performance under various conditions	Medium / Low (Lab scale)	Unknown	Optimisation	2014	Chen A.	10.1016/j.biomaterials.2013.10.007	
53	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Thrombosis and restenosis	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Chen H.	10.1039/C6TB01811D	
54	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Predictive	Under validation	2015	Chen J.	10.1161/ATVBAHA.114.305095	
55	Cardiovascular Surgical and interventional Procedures	Reperfusion	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease effects on specific organs	Hypoxia/reoxygenation injury	Medium / Low (Lab scale)	Predictive	Optimisation	2018	Chen L.-J.	10.1097/SHK.0000000000001008	
56	Heart Valve Diseases 	Mitral Valve	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	MicroRNA on mitral valve prolapse	Medium / Low (Lab scale)	Predictive	Under validation	2016	Chen M.	10.3390/ijms17050753	
57	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease mechanism (exp/theor)	Diagnosis of diseases	Aortic valve dynamics	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Chen Y. & Luo H.	10.1016/j.jfluidstructs.2018.04.009	
58	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Tricuspid atresia	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Chen Y.-T.	10.1097/MD.0000000000009510	
59	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Aortic valve replacement	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Cheng Z.	10.1007/s10439-015-1453-x	
60	Heart Failure 	NA	in silico	FEM	Disease therapy development	Prediction of device effects	Thrombosis risk of VAD	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Chivukula V.K.	10.1161/CIRCHEARTFAILURE.117.004325	
61	Aneurysm	Cerebral	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Chivukula V.K. 	10.1016/j.jocn.2018.10.103	
62	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Coronary plaques	High (Automated)	Supportive	Optimisation	2015	Choi G.	10.1016/j.jcmg.2015.04.024	
63	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device development	Atrial fibrillation	Not relevant (e.g. in silico)	Supportive	Optimisation	2015	Choi H.W.	10.1016/j.jbiomech.2015.05.006	
64	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Effect of plasma endothelial microparticles on valve regurgitation and stenosis	Medium / Low (Lab scale)	Supportive	Under validation	2013	Ci H.-B.	10.1152/ajpendo.00016.2013	
65	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Endothelial function in carotid artery	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Cibis M.	10.1016/j.jbiomech.2016.02.004	
66	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2017	Cirka H.A.	10.1039/c6lc01226d	
67	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Aortic calcification	Not relevant (e.g. in silico)	Direct	Standardised 	2013	Claiborne T.E.	10.1115/1.4023235	
68	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	Left atrial appendage closure	Medium / Low (Lab scale)	Predictive	Optimisation	2017	Coisne A.	10.1016/j.hrthm.2017.01.042	
69	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Failure of bioprosthetic heart valves	Medium / Low (Lab scale)	Supportive	Under development 	2016	Condemi F.	10.1016/j.echo.2015.11.002	
70	Heart Valve Diseases 	Mitral Valve	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve remodeling evaluation	Medium / Low (Lab scale)	Predictive	Under development 	2016	Connell P.S.	10.1007/s10439-015-1398-0	
71	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Single ventricle physiology	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Conover T. 	10.1016/j.jtcvs.2017.09.046	
72	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Effect of arterial predilation before stenting	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Conway C.	10.1007/s10439-017-1851-3	
73	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Stent resistence in right ventricular outflow tract	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Cools B.	10.1002/ccd.27320	
74	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Evaluation of changes in AV nodal properties during atrial fibrillation	Not relevant (e.g. in silico)	Supportive	Under validation	2014	Corino V.D.A.	10.1093/europace/euu246	
75	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Single ventricle	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Corsini C.  	10.1080/10255842.2012.758254	
76	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Device development	Aneurysm endovascular repair	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Costache V.S.	10.1177/1526602818808049	
77	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Device effectiveness evaluation	Epicardial pacing	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Crowe M.E.	10.1097/SIH.0b013e31826ec3e1	
78	Heart Failure 	NA	in vitro without cells	NA	Diagnosis of disease	Prediction of post-intervention outcomes	LVAD fluidodynamic evaluation	Medium / Low (Lab scale)	Predictive	Under development 	2014	Cuenca-Navalon E.	10.5301/ijao.5000301	
79	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Prosthesis development	Mitral valve scaffold realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2018	D'Amore A.	10.1016/j.biomaterials.2017.10.011	
80	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Bicuspid aortic valve	Not relevant (e.g. in silico)	Direct	Standardised 	2016	Dabiri Y.	10.1007/s13239-016-0279-5	
81	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Davari S.A.	10.1002/jbio.201600288	
82	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2013	De Bock S.	10.1016/j.jbiomech.2013.07.010	
83	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Prosthesis development	Heart valve fluid dynamic evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2015	De Gaetano F.	10.5301/ijao.5000452	
84	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Arteriovenous fistula	Not relevant (e.g. in silico)	Supportive	Under development 	2018	de Villiers A.M.	10.1007/s10237-017-0973-8	
85	Heart Valve Diseases 	Mitral Valve	in vitro with cells	3D culture	Disease therapy development	Prosthesis development	Mitral valve scaffold realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Deborde C.	10.1089/ten.tea.2016.0032	
86	Aneurysm	Aorta	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm hemodynamics	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Deplano V.	10.1007/s00348-016-2263-0	
87	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aneurysm rupture	High (Automated)	Supportive	Standardised 	2018	Detmer F.J.	10.1007/s00701-018-3712-8	
88	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Atherosclerosis	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Díaz-Zuccarini V.	10.1049/htl.2013.0040	
89	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Rupture risk of plaque	Medium / Low (Lab scale)	Supportive	Under development 	2013	Doherty J.R.	10.1016/j.jbiomech.2012.10.006	
90	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Artificial blood vessel	Medium / Low (Lab scale)	Supportive	Optimisation	2014	Dolati F.	10.1088/0957-4484/25/14/145101	
91	Occlusive Disease 	Carotid	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Carotid restenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Domanin M.	10.1016/j.jvs.2017.08.094	
92	Occlusive Disease 	Carotid	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Carotid restenosis	Medium / Low (Lab scale)	Supportive	Under development 	2019	Domanin M.	10.1007/s10439-019-02201-8	
93	Occlusive Disease 	Peripheral vessel	in silico	FEM	Disease therapy development	Prediction of device effects	Femoral artery stenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Dordoni E.	10.1016/j.medengphy.2014.03.006	
94	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve remodeling evaluation	Medium / Low (Lab scale)	Predictive	Under validation	2018	Driesbaugh K.H.	10.1016/j.yjmcc.2017.12.014	
95	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Treatment strategies evaluation	Understanding of the molecular basis of antiarrhythmics; assessment of arrhythmia response to drugs	Medium / Low (Lab scale)	Predictive	Optimisation	2014	Du C.	10.1016/j.yjmcc.2014.05.013	
96	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Diagnosis of disease	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2013	Duan B.	10.1016/j.actbio.2013.04.050	
97	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Leaflets stenosis and calcification	Medium / Low (Lab scale)	Direct	Under validation	2014	Dubé J.	10.1016/j.actbio.2014.04.033	
98	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Aortic thrombosis	Medium / Low (Lab scale)	Predictive	Optimisation	2016	Ducci A.	10.1016/j.jbiomech.2016.10.050	
99	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm growth	High (Automated)	Predictive	Under development 	2014	Duellman T.	10.1016/j.jvs.2014.03.274	
100	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Prediction of device effects	Aneurysm endovascular repair	Not relevant (e.g. in silico)	Predictive	Under validation	2013	Dumenil A.	10.1109/TBME.2012.2235440	
101	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors 	Effect of DCHS1 on mitral valve	Medium / Low (Lab scale)	Predictive	Under validation	2015	Durst R.	10.1038/nature14670	
102	Myocardia Ischemia	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	Acute myocardial infarction	Medium / Low (Lab scale)	Supportive	Under validation	2017	Dutta S.	10.1016/j.pbiomolbio.2017.02.007	
103	Myocardia Ischemia	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Bifurcation stenting	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Džavík V. & Colombo A.	10.1016/j.jcin.2013.07.013	
104	Occlusive Disease 	Peripheral vessel	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Diagnosis of diseases	Arterial wall stiffening	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Ebrahimi Nejad S.	10.1007/s10237-016-0836-8	
105	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Mitral annular calcification	Medium / Low (Lab scale)	Supportive	Optimisation	2018	El Sabbagh A.	10.1002/ccd.27488	
106	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Device development	Pathophysiology of the myocardium	Medium / Low (Lab scale)	Supportive	Optimisation	2017	Ellis B.W.	10.1063/1.4978468	
107	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Supportive	Optimisation	2019	Engelhardt S.	10.1093/icvts/ivz008	
108	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Surgical and/or interventional planning	Abdominal aortic aneurysm	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Erhart P.	10.1583/14-4695.1	
109	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Aneurysm rupture	Medium / Low (Lab scale)	Predictive	Standardised 	2015	Erhart P.	10.1016/j.ejvs.2014.11.010	
110	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aneurysm rupture	Medium / Low (Lab scale)	Predictive	Standardised 	2016	Erhart P.	10.1177/1526602815612196	
111	Heart Valve Diseases 	Mitral Valve	in vitro with cells	3D culture	Disease therapy development	Prosthesis development	Mitral valve scaffold realisation feasibility	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Eslami M.	10.1177/0885328214530589	
112	Myocardia Ischemia	NA	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Coronary stent fracture	Medium / Low (Lab scale)	Predictive	Under validation	2016	Everett K.D.	10.1007/s10439-015-1476-3	
113	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Failed mitral surgical bioprostheses	Medium / Low (Lab scale)	Supportive	Under validation	2016	Evin M.	10.1016/j.jtcvs.2015.11.039	
