Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance		Status	Content	Predictive
Endometrial Cancer		T-cell therapy			hepatocellular carcinoma cell	A-549									Angiogenin, MMP9, TIMP2, angiogenesis, degranulation, cell-adhesion, ÑK secretome							
Epithelial Cancers		Tumor characterization			HLA-A*02:01 primary cells	A-549 									angiopoietin/Tie2 pathway, Ang1 and Ang2, ICAM-1, proliferation, viability							
Esophageal Cancer		Tumor classification			Human monocyte-derived DC, normal allogeneic T Lymphocytes (MLR)	A-549 (lung), HCT-116 (Colon) and MCF-7 (breast)									antibody profile 							
Gastric Cancer		virotherapy 			Human peripheral blood Lymphocytes (PBL), TILs	A-549 and LETP-2									antigen presentation capacity, phagocytic activity, chemotaxis capacity, T-cell proliferation and cytokines release, migration capacity and T cell proliferation							
Gastrointestinal Cancer					Human sera	A-549 and NCI-H460									antigene affinity							
General					HUVEC	A-549, H1299, SPC-A-1, and H1975									antigene presentation							
General 					infiltrating Lymphocytes 	A-549, H23 or H838									antigenome profile, immuno profiling, correlation, CCR8, BCMA 							
General (Breast Cancer As Instrumental)					iNKT 	A-549, HT-29, and RAMOS									apoptosis , MYCN, citotoxicity							
General (Cell Lines As Instrumental)					Jurkat T cells	A-549, NCI‐H1299									apoptosis, 							
General (Cells As Instrumental)					LAA-expressing hybridoma cells	A-549, PC9, HCC-827, H1975, H1993, BEas-2B									apoptosis, citotoxicity							
General (Colon Cancer As Instrumental)					liquid Biopsies (sera)	A2780 (ovarian) and HCT-116 (Colorectal)									apoptosis, Colony formation, TIM-3							
General (Melanoma As Instrumental)					lymphatic endothelial cells (LECs)	A2780 and SKOV-3 									apoptosis, cytokines, 							
General (Ovarian As Instrumental)					Lymphocytes	A375, A2058, G361 , SK-MEL-28									ARMC3, DDX53, FTHL17, GAGE1, MAGEA11, SYCE1, TCP11, and XAGE1							
General (Renal Cell Carcinoma As Instrumental)					Lymphocytes, CIK	A431, Colo320, SW480, Caco-2, SW620, HT-29									B cell-associated protein 31 (BAP31), RNA profile, correlation							
General Metastatic Cancer					lysosomes	ACHN cells									B7-H1 and B7-H4							
Glioblastoma Multiforme					M phi 1 supernatant, T cells	aDu									B7-H1, Colony formation, 							
Glioblastoma, Breast Cancer Brain Metastasis					macrophages	AGS and SGC-7901									B7-H1, invasion							
Glioma					macrophages 	AML-M4, AML-M5									B7-H4, citotoxicity, t-cells infiltration							
Haematological Cancer					MDA-MB-468 and MCF7	autologous sCSC									BIRC5, CA125, CEA, DDX43, EPCAM, FOLR1, Her-2/neu, MAGE-A1, MAGE-A2, MAGE-A3, MAGE-A4, MAGE-A6, MAGE-A10, MAGE-A12, MUC-1, NY-ESO-1, PRAME, p53, TPBG, TRT, WT1							
Head And Neck Cancer					Membrane vesicles and TDEs from multiple head and neck cancer cell line	B cells, Raji cells, Z138 cells									blood mMDSCs to DC ratio							
Head And Neck Squamous Cell Carcinoma					mestrual fluid	B-lymphoid cell, Dakiki, EBV, WAS2, WAS4, WAS R86H cell lines 									c-SRC kinase (CSK) , ERK, pMHC-induced IL-2 release							
Hepatic Cancer					MMC	B16-F10,  LCC1									calreticulin (CRT), correlation							
Hepatocellular Carcinoma					monocyte-derived DCs (MoDCs)	B16-F10, BHK-21, CT-26									cAMP, Notch receptor, proliferation, spheroid formation							
Human Leukemia, Mesothelioma					Monocyte, HUVEC	B76 and MDHA-2774									cancer growth							
Laryngeal Cancer					monocytes	Biopsies									cancer testis antigenes							
Leukaemia					Monocytic MDSCs	Biopsies (lymphoid cells)									CCL-1, citotoxicity							
Leukaemia And Lymphoma					myeloid and endothelial cells, T cells	Biopsies and sera form CRC patient									CCL17 and CCL22/CCR4							
Leukaemia/Lymphoma/Myeloma					Myeloid-derived suppressor cell	Biopsies,  Hs 936.T , A2058 and Colo679,  WM983(B), 451 Lu, WM3918, and WM3912 ,  UACC1273 									CCL21 and IFNgamma							
Leukoplakia					Myeloid-derived suppressor cells (MDSCss)	Biopsies,  SKO-007(J3), U266, RPMI 8226, ARP, ARK, OPM-2, and LP-1									CCR10, citotoxicity, chemiotaxis, CCL27, CCL28							
Liver Cancer					n/a	Biopsies, BIU-87									CD137, ADCC, Fc gamma-RIIIA, citotoicity							
Liver Cancer, Leukemia					NK	Biopsies, Capan-2 (HLA-A2þ), AsPC-1 (HLA-A2 ), Panc-1 (HLA-A2þ), and MIA-PaCa-2 (HLA-A2 )									CD14, CD3, IFN-gamma, cytotoxicity							
Lung Adenocarcinoma					NK cells	Biopsies, HEK293T, HEK-PSCA									CD16, ADCC							
Lung Cancer					NK cells, gamma delta T cells, alpha beta T cells	Biopsies, HeLa									CD16, IFN-gamma, citotoxicity							
Lung Squamous Cell Carcinoma					NK cells, NK-92 cells	Biopsies, HL-60, KG-1, K562, MOLT-4, A431									CD169							
Lung, Cervical Carcinoma, Leukemia And Pancreatic Cancer					NK-92	Biopsies, K1, BCPAP, 8505-c, 8305-c, Nthy-ori 3-1									CD1d , cell cycle, mitochondrial membrane depolarization							
Lymphoma					NK-92 	Biopsies, liquid Biopsies									CD1d,  Erk/MAPK , CD80, B7-H2							
Medulloblastoma, Pleomorphic Xanthoastrocytoma					NK-92MI	Biopsies, MCF-7, BT-474 and ZR-75-1									CD20, TNFR1 , cell death							
Melanoma					NK92 	Biopsies, MGC-803, NCI-N87 and AGS									CD22							
Melanoma And Haematological Cancer					NKT cells	Biopsies, NCI-N87, AGS, SNU216, SNU668, and SNU719, YCC3, YCC10, and PC9 									CD25 and DR5							
Melanoma, Breast Cancer, Multiple Myeloma Cell, 					NKT-like Cells 	Biopsies, OV-90, SKOV-3 and OVCAR-3, CaOV-3									CD25, CD69, 4-1BB, and OX40, IFN-gamma, 							
Metastatic Melanoma					PBMCs	Biopsies, serum and peripheral Blood									CD3, CD8, FOXP3, and CD68, Infiltrating Lymphocytes and Macrophages							
Monocytic Leukemia, Myelomonocytic Leukemia					PBMCs 	Biopsies, several immortalized cell lines, NK cells									CD3(+) T cell proliferation, MDSCss titer							
Multiple Myeloma					PBMCs - CAR-T	Biopsies, SW620									CD3/CD28, IL-21, CD3, CD28, CD4(+) and CD8(+) memory stem T cells							
Multiple Myeloma And Oral Squamous Cell Carcinoma					PBMCs, macrophages derived from U937 	Biopsies, T24, UM-UC-3, J82, 5637, SW780, and RT4									CD33-CD3							
Myeloma					PBMCs, monocytes and dendritic cells (DCs)	Biopsies, TAMs									CD38							
Nasal Natural Killer/T-Cell Lymphoma					PBMCs, T-cells	Biopsies, TILs									CD38, CD101, PD1, CD8							
Nasopharyngeal Cancer					PHA, K562	BT-474									CD38, cytotoxicity							
Neck Squamous Cell Carcinoma					primary B-cells	BT-474, BJAB									CD40, CCR2							
Neuroblastic Tumors					RAW 264.7 	BT-474, CAMA-1, MDA-MB-435, MDA-MB-436, SK-BR-3, CaOV-3, OVCAR-3, SKOV-3, N87, OE19, transformed embryonic kidney 293, retinoblast 911 cells, JIMT-1, HEY,  MKN-28, MKN-45 									CD41 and CD81, citotoxicity							
Neuroblastoma					SKOV3, OVCAR-3, A2780, HEK-293T	C1 cells									CD44, CD133, Nanog, and Oct3/4, and immunosuppressive molecules HLA-G and -E							
Neuroblastoma, Melanoma 					supernatants	Calu-6, NCI-H1299, HT-29,HepG2, 1321NI									CD56, NKG2D and NKp44							
Neuroendocrine Tumor					T-cells	CaSki , SiHa									CD64, MAP, citotoxicity							
Non-Hodgkin Lymphoma					T-cells, DCs, B cells	CD4(+) T cells 									CD68 (pan-M phi), CD80 (M1 M phi), CD163 (M2 M phi), CD4 (helper T cells: Th), CD8 (cytotoxic T cells), CXCR3, CCR5 (Th1), CCR4 (Th2), signal transducer and activator of transcription (STAT1), phosphorylated STAT1 (pSTAT1) and chemokine CXCL9, correlation							
Non-Muscle Invasive Bladder Cancer					T-cells, NK cell, myeloid cells	CD8+ T cells									CD8 and PD-L1							
Non-Small Cell Lung Cancer					T-cells, PBMCs	CHO-A1,HEK-A2B, HeLa-A2A ,HeLa-A3, lung Cancer tissue									CD8(+) T-cell expansion, RNA profiling, 							
Non-Small Cell Lung Cancer, Lung Adenocarcinoma					T-cells, PBMCs and monocytes 	CIK cells									CD8(+) T-cells, dendritic cells and monocytes, LAG3, PD-1, TIM3 and CTLA4, correlation							
Oral Squamous Cell Carcinoma (Oscc)					T-cells, TILs	CIK, NK, DCs									CD83, HLA-DR, CD80, CD86, IFN-g							
Oral Squamous Cell Carcinoma (Oscc) 					T-Regs	CL-188, HTB-39, and HTB-37, Biopsies									CD86, CD21, IgD, CD27, correlation							
Oropharyngeal Squamous Cell Carcinoma					T2	CNE2									CD86, IL-10, TNF-α							
Osteosarcoma					THP-1, Jurkat, HL-60	Colo 205, HT-29 and Colo 320, Colon adenocarcinoma cells, HeLa cervix adenocarcinoma cells, MKN45 gastric tumor cell and Bx-PC3 pancreas adenocarcinoma									CDCP1							
Ovarian Cancer					THP-1, U937	Colon adenocarcinoma cells LS174T and LoVo, MRC-5 normal fetal lung fibroblast cells, CCD-18Co a normal Colon fibroblast cell line									CEA-IL2v plasma concentrations							
Ovarian Cancer, Breast Cancer					TILs	CRC cells									Cell Growth, Viability, EGFR, Erk1/2, and Akt							
Pancreatic Adenocarcinoma					TILs, CTLs	CTLs									cell homing, immune invasion of tumor spheroids, and spheroid cytotoxicity							
Pancreatic Cancer					TILs, TANs	DCs									cell infiltration, correlation							
Papillary Thyroid Cancer					TREG, CTL, NK	DLD-1, HCT-116, SK-MEL-28, A2058 and CHO-K1, NCI-H1975, ES-2, MDA-MB-231, Biopsies									cell infiltration, PD-L1, PD-1							
Penile Squamous Cell Carcinoma					tumor lysate	DM6, DM440, and DM443, DU54 									cell proliferation, apoptosis							
Primary Acute Lymphoblastic Leukemia					UB protein extracted from tumors	Du-145, PC3, and LNCaP									cell proliferation, cytotoxicity							
Primary Multiple Myeloma					V45.2.' T-cells	Eca-109 									cell size, cellular radioactivity distribution							
Prostate Adenocarcinoma					γδ T-cells	EL4 cells									cell viability							
Prostate Cancer						EOC 									cell-cell contact, immuno response, apoptosis							
Prostate Cancer, Breast Cancer						FaDu, CAL27, CCL-138									chromogranin A (CGA), CD56, synaptophysin (SYN), CD3, and PD-L1							
Prostate, Breast, And Lung Carcinoma						g SKMES-1, Calu-1, A-427, A-549, and SKLU-1, MRC-5, 3A5A, 1.3.11, 1.3.15, 3B1A, AJG-1, OSJV-1, CDS-1, MRLO-1, MRLO-2, and RCC1-20 NSCLC 									citokynes, IL12							
Pulmonary Lymphoepithelioma-Like Carcinoma						GL261 and CT-2A GBM-like									citoticity, TGF-ß, PDL-1							
Renal Carcinoma						H1299 and H226B									citotoxicity							
Renal Cell Carcinoma						H1650, H1650GR 									citotoxicity on Cancer stem cell							
Renal Cell Carcinoma 						H2087 (ATCC/CRL-5922), HeLa and Panc-1									citotoxicity,  IFIN-gamma							
Rhabdomyosarcoma						H441, U937, T2, H2023,  H441,  DFCI024, DFCI032,  H1299,  HCC-2935									citotoxicity,  IL-35, TGF-beta and IL-10, Foxp3							
Rhabdomyosarcoma, Breast, Prostate And Pancreatic Cancer						H460 and H1703									citotoxicity, ADCC							
Salivary Adenoid Cystic Carcinoma						HCC-1428, MCF-7, T47D, BT-474, UACC-812, ZR-75-30									citotoxicity, antibosy stability							
Salivary Gland Cancer						HCC-2935, NCI-H1993, H522									citotoxicity, apoptosis, migration							
Sarcoma						HEK 293T, LS174T									citotoxicity, autophagy, apoptosis, PHLDA1 , apoptosis							
Serous Ovarian Cancer						HEK293									citotoxicity, Bcl-x, Her2, Her3 and MUC16							
Small Cell Lung Cancer						HEK293, HeLa, MKN45, Jurkat clone E6–1, U937 									citotoxicity, binding and internalization behavior of 425(scFv)-ETA							
Soft Tissue Sarcomas						HEK293, MCF-7, A-549, HO-8910PM, HeLa, HepG2									citotoxicity, calcitonin receptor (CTR) , drug uptake							
Squamous Cell Lung Carcinoma						HEK293, SKOV-3.ip1, SKOV-3.ip1-luc, OV-4 									citotoxicity, CD20							
Superficial Bladder Cancer						HEK293T									citotoxicity, CD83, CD86 and major histocompatibility complex (MTIC)-II, LDH, FOXP3 , IL-12 and IFN-gamma 							
T-Lymphoblastic Leukemia And Lung Carcinoma						HEK293T , A-549									citotoxicity, cell viability, proliferatio, migration, PD-L1							
Thyroid Cancer						HeLa									citotoxicity, citokines							
Urothelial Bladder Cancer						Hep-G2, QUY-703, L02									citotoxicity, CTLA-4/CD152 and PD-L1/CD274, CD70, CD275/ICOSL, CD134L/OX40L, and CD137L/41BBL, IFN-gamma							
						HepG2 and K562									citotoxicity, degranulation and cytokine production							
						HepG2 cells, HCC cells									citotoxicity, drug internalization, 							
						HGCC									citotoxicity, eIF2 , IFN, IRF3, 							
						HH, H9, Hut78, MJ, and Hut102 patient-derived									citotoxicity, FN-gamma, TNF-alpha,CD69							
						HL-60 pro-monocytic									citotoxicity, HER2, degranulation							
						HL-60, macrophages									citotoxicity, HLA class I expression							
						HL60 and MOLT4									citotoxicity, IFM-gamma,  HLA-A*02:01/CT37							
						HN4, HN6, HN30									citotoxicity, IFN-gamma							
						HOS, U2OS									citotoxicity, IFN-β and LDH 							
						HSB-2, Ramos, and Daudi cells									citotoxicity, IFN-β ELISA and LDH 							
						HSC-2, HSC-3, and HSC-4									citotoxicity, IFN-γ 							
						HSC-3, OSCC3, SCC-14a/b, SCC-4, SCC1, CAL27, HIOEC-B (HB), HaCaT									citotoxicity, infiltration, spheroid morphology							
						HT-29									citotoxicity, internalization							
						HT-29 and DLD-1									citotoxicity, mAB internalization							
						HT-29, liquid Biopsies									citotoxicity, mogration							
						HT-29, SW620									citotoxicity, Nipsnapl and glycine-tRNA ligase (GRS)							
						HT-29, SW62D									citotoxicity, PD-1							
						hTERT-HPNE and pancreatic cancer cell lines									citotoxicity, PD1/PDL1 axis							
						Human breast (MDA-MB-231 and MCF-7), Colon (SW620, SW480, and Colo205), and prostate (LNCaP) tumor cell lines									citotoxicity, proliferation							
						Human cutaneous melanoma cell lines (Mel 195, 275, 313, 346, 116, 120, 514, 142, 237, 403, 458, 345, 599, and 261) were generated from surgically removed metastatic lesions from melanoma patients, as previously described. Human hematological cancer cell lines (Daudi, HL-60, NALM-6, Raji, U-937, KG-1a, Jurkat, JY, Ri-1, K562) w									citotoxicity, proliferation, survival, antigen 6 complex, locus G6D (LY6G6D) , JAK/STAT5							
						Human iPSCs derived from melanoma TILs									citotoxicity, proliferation, TNF-alpha, IL-1 beta, IL-6 and PEG(2)							
						Human neuroblastoma cell lines LA-N-1 and SK-N-SH and a lymphoblastic lymphoma cell line (SupT1) 									citotoxicity, prolifetarion							
						IMR-32, CHP-134									citotoxicity, protein inhibition, aploid nuclei							
						IMR-32, LA-N-1, CHP-134 									citotoxicity, protein profile							
						IMR-32, SK-N-BE, SH-5YSY, LA-N-6									citotoxicity, Runx2							
						IMR-32, SK-N-FI, mel526 									citotoxicity, secreted IL2 and IL6, IL3, TNFα, and IFNγ							
						iNKT									citotoxicity, T cell activation							
						iNKT cells									citotoxicity, viability							
						Invariant Natural Killer T (iNKT), hESC, H1  									citotxicity							
						ISOS-1, HAMON, Biopsies									citotxicity, Colony formation, mutation profile							
						Jurkat E6.1, Molt-3, KBM7, K562, THP-1, U266, TK6, HP, VB, BV, KÖ, CM, PH									citotxicity, Cytokine and Chemokine, Colony formation							
						Jurkat T									citotxicity, STEAP1							
						Jurkat, CHO-K1, HeLa, HCC-827, PC3, NCI-H2023, 4 T1, B16-F10, and CT-26									citoxicity							
						K562 									correlation							
						K562 cells									correlation, immune cell desity							
						K562 cells, A431 									correlation, LAMC2 , lymph node metastasis, migration, invasion							
						K562 or Daudi									correlation, NKp30 and NKp46, citotoxicity, degranulation, DNAM-1, CD57, CD10							
						K562 Raji									correlation, proliferation, apoptosis, migration, invasion, 							
						K562, Daudi, Raji, UB2MT, C1AK									correlation, T cell, cytokine							
						K562, U937									correlation, T helper type 1 (Th1), Th2, Th17, and regulatory T (Treg) cells densities							
						KG-1a									CT45							
						KKU-055, KKU-100, and KKU-213 									CTCS presence							
						L60, SK-BR-3, T47D, HCT-116, U937 and U251									CTL ratio,  WT-1, PRAME, MAGE, h-TERT 							
						liquid Biopsies									CXCL9 and CXCL10, CD3, CD56 and FOXP3 , COX, TILs count, Chemokine regulation, correlation							
						liquid Biopsies (metastatic pancreatic cancer patients' Blood;)									CXCR3, CXCR4 and CXCR6, citotoxicity, NK migration							
						liquid Biopsies, LAPC4, PC3, Du-145, 22rv1, LNCaP,RWPE-1									CXorf61, cytotoxicity							
						liver metastasis									Cytokine , citotoxicity							
						LLC.OVA									Cytokines							
						LNCaP, Du-145									cytokines secretion, citotoxicity, T cell activation							
						LNCaP, MDA-MB-231									Cytokines, cytotoxicity, PD-L1, IFNγ 							
						LNCaP, MDA-MB-231, NCI-H1703, JHC7									cytotoxicity							
						LoVo, HCT-116									cytotoxicity, apoptosis, Hsp90, viability and Colony formation							
						LP-1, OPM-2 and RPMI8226									cytotoxicity, cytokines							
						Lymphocytes									Cytotoxicity, degranulation, and cytokine release, CD16, CD56							
						M171, M425 and M579									cytotoxicity, HER2, CD79b, Calreticulin , HMGB1, apoptosis, CXCL10 							
						M2-derived Kasumi-1									cytotoxicity, HSPA, endoplasmic retuculum stress, autophagy, apoptosis							
						mast cells									cytotoxicity, IL-2, IL-15, IL-18, Ki67							
						MBA-MB-231									Cytotoxicity, IL2Rα, CD56, CD69, IL6, IL12p70, TNFα							
						MCF-10A									cytotoxicity, secreted citokines							
						MCF-7									Degranulation , MICA/B and NKG2D-Fc fusion protein, HLA-I, citotoxicity							
						MCF-7,  Natural Killer cell, and cytotoxic T Lymphocytes									degranulation, CD107, cytotoxicity, IL-15SA/IL-15RA, TGF-β1, SMAD2/3, EGFR							
						MCF-7, HCC-1428, T47D, BT-474, UACC-812, ZR-75-30									degranulation, citotoxicity, 							
						MCF-7, HCC-1954									Dendritic cell-derived exosomes, citotoxicity							
						MCF-7, HDFa									densities of Th1, effector-memory T cells, T cells proliferation , PD1-PDL1, IMMUNOSCORE, satellite stability, correlation							
						MCF-7, HUVEC									Disialoganglioside							
						MCF-7, MCF-7 TamR, T47D, SK-BR-3, MDA-MB-231									DNA profile, IFNγ							
						MCF-7, MDA-MB-231, SK-BR-3, BT-474									DNA profile, mutational profile							
						MCF-7, SK-BR-3 and MBA-MB-231									DNA profile, NRAS mutation, correlation							
						MCF-7, T47D									DNA profile, PD-L1, PD-1							
						MCF-7, ZR-75-1, and MDA-MB-231, NHL									DNa profile, proteome profile, immuno profile,							
						MCF‐10A									DNA profile,SCC4, SCC15, and SCC25							
						MCW670, Panc-1									DNA profiling							
						MDA-MB-231									DNA sequencing, mutational profile							
						MDA-MB-231 and T47D									doses of Lymphocytes,  stability and its sensitivity o the model							
						MDA-MB-231, HCC-70, MCF-7									drug delivery and penetration							
						MDA-MB-231, MDA-MB-435S, MDA-MB-453, SK-BR-3, ZR-75-1, T47D, and MCF-7,									drug internalization, citotoxicity, LAMP1, ROS levels							
						MDA-MB-231, MDA-MB-468									drug uptake							
